"name","count","countries","cities","roles","samples","etoStatus","category"
"Kirov","4","Russia","Kirov","to","Kirov Pobedilovo Airport (KVX) -> Kirov || Kirov Pobedilovo Airport (KVX) -> Kirov || Kirov Pobedilovo Airport (KVX) -> Kirov","missing","city"
"Klong Muang Thailand","4","Thailand","Klong Muang Thailand","to","Krabi International Airport (KBV) -> Klong Muang Thailand || Krabi International Airport (KBV) -> Klong Muang Thailand || Phuket International Airport (HKT) -> Klong Muang Thailand","missing","city"
"Kokkorevo","4","Russia","Kokkorevo","to","Saint-Petersburg Pulkovo Airport (LED) -> Kokkorevo || Saint-Petersburg Pulkovo Airport (LED) -> Kokkorevo || Saint-Petersburg Pulkovo Airport (LED) -> Kokkorevo","missing","city"
"Krabi town","4","Thailand","Krabi town","to","Krabi International Airport (KBV) -> Krabi town || Krabi International Airport (KBV) -> Krabi town || Phuket International Airport (HKT) -> Krabi town","missing","city"
"Las Palmas de Gran Canaria","4","Spain","Las Palmas de Gran Canaria","to","Gran Canaria Airport (LPA) -> Las Palmas de Gran Canaria || Gran Canaria Airport (LPA) -> Las Palmas de Gran Canaria || Gran Canaria Airport (LPA) -> Las Palmas de Gran Canaria","missing","city"
"Lyka World Links Golf, Antalya","4","Turkey","Lyka World Links Golf, Antalya","to","Antalya Airport (AYT) -> Lyka World Links Golf, Antalya || Antalya Airport (AYT) -> Lyka World Links Golf, Antalya || Antalya Airport (AYT) -> Lyka World Links Golf, Antalya","missing","city"
"Minsk","4","Belarus","Minsk","to","Minsk Airport (MSQ) -> Minsk || Minsk Airport (MSQ) -> Minsk || Minsk Airport (MSQ) -> Minsk","missing","city"
"Mueang, Phang Nga","4","Thailand","Mueang, Phang Nga","to","Krabi International Airport (KBV) -> Mueang, Phang Nga || Krabi International Airport (KBV) -> Mueang, Phang Nga || Phuket International Airport (HKT) -> Mueang, Phang Nga","missing","city"
"Nice","4","France","Nice","to","Nice Côte d'Azur Airport (NCE) -> Nice || Nice Côte d'Azur Airport (NCE) -> Nice || Nice Côte d'Azur Airport (NCE) -> Nice","missing","city"
"Okurcalar","4","Turkey","Okurcalar","to","Antalya Airport (AYT) -> Okurcalar || Antalya Airport (AYT) -> Okurcalar || Antalya Airport (AYT) -> Okurcalar","missing","city"
"Penza","4","Russia","Penza","to","Penza Airport (PEZ) -> Penza || Penza Airport (PEZ) -> Penza || Penza Airport (PEZ) -> Penza","missing","city"
"Perm","4","Russia","Perm","to","Perm International Airport (PEE) -> Perm || Perm International Airport (PEE) -> Perm || Perm International Airport (PEE) -> Perm","missing","city"
"Porto","4","Portugal","Porto","to","Porto Francisco Sá Carneiro Airport Airport (OPO) -> Porto || Porto Francisco Sá Carneiro Airport Airport (OPO) -> Porto || Porto Francisco Sá Carneiro Airport Airport (OPO) -> Porto","missing","city"
"Portsmouth","4","United Kingdom","Portsmouth","to","London Heathrow Airport (LHR) -> Portsmouth || London Heathrow Airport (LHR) -> Portsmouth || London Heathrow Airport (LHR) -> Portsmouth","missing","city"
