"name","count","countries","cities","roles","samples","etoStatus","category"
"Ulan-Ude","2","Russia","Ulan-Ude","to","Baikal International Airport (UUD) -> Ulan-Ude || Baikal International Airport (UUD) -> Ulan-Ude","missing","city"
"Uluwatu","2","Indonesia","Uluwatu","to","Denpasar Ngurah Rai Airport (DPS) -> Uluwatu || Ubud -> Uluwatu","missing","city"
"Uppsala city","2","Sweden","Uppsala city","to","Stockholm Arlanda Airport (ARN) -> Uppsala city || Stockholm Arlanda Airport (ARN) -> Uppsala city","missing","city"
"Vaarala","2","Finland","Vaarala","to","Rovaniemi Airport (RVN) -> Vaarala || Rovaniemi Airport (RVN) -> Vaarala","missing","city"
"Värmdö municipality / Varmdo","2","Sweden","Värmdö municipality / Varmdo","to","Stockholm Arlanda Airport (ARN) -> Värmdö municipality / Varmdo || Stockholm Arlanda Airport (ARN) -> Värmdö municipality / Varmdo","missing","city"
"Västerås city","2","Sweden","Västerås city","to","Stockholm Arlanda Airport (ARN) -> Västerås city || Stockholm Arlanda Airport (ARN) -> Västerås city","missing","city"
"Vaxolm locality","2","Sweden","Vaxolm locality","to","Stockholm Arlanda Airport (ARN) -> Vaxolm locality || Stockholm Arlanda Airport (ARN) -> Vaxolm locality","missing","city"
"Vienna","2","Austria","Vienna","to","Vienna Schwechat Airport (VIE) -> Vienna || Vienna Schwechat Airport (VIE) -> Vienna","missing","city"
"Visby","2","Sweden","Visby","to","Visby Airport (VBY) -> Visby || Visby Airport (VBY) -> Visby","missing","city"
"Vladivostok","2","Russia","Vladivostok","to","Vladivostok International Airport (VVO) -> Vladivostok || Vladivostok International Airport (VVO) -> Vladivostok","missing","city"
"Warsaw","2","Russia","Warsaw","to","Kaliningrad Khrabrovo Airport (KGD) -> Warsaw || Kaliningrad Khrabrovo Airport (KGD) -> Warsaw","missing","city"
"Yala city, Yala","2","Thailand","Yala city, Yala","to","Phuket International Airport (HKT) -> Yala city, Yala || Phuket International Airport (HKT) -> Yala city, Yala","missing","city"
"Yli-Mommo","2","Finland","Yli-Mommo","to","Rovaniemi Airport (RVN) -> Yli-Mommo || Rovaniemi Airport (RVN) -> Yli-Mommo","missing","city"
"Ylipaa","2","Finland","Ylipaa","to","Rovaniemi Airport (RVN) -> Ylipaa || Rovaniemi Airport (RVN) -> Ylipaa","missing","city"
"Aarhus city","1","Denmark","Aarhus","to","Billund Airport (BLL) -> Aarhus city","missing","city"
"Abisko","1","Sweden","Abisko","to","Kiruna Airport (KRN) -> Abisko","missing","city"
"Agios Mamas","1","Cyprus","Agios Mamas","to","Larnaca Airport (LCA) -> Agios Mamas","missing","city"
"Agraka","1","Cyprus","Agraka","to","Larnaca Airport (LCA) -> Agraka","missing","city"
"Agros","1","Cyprus","Agros","to","Larnaca Airport (LCA) -> Agros","missing","city"
"Akaki","1","Cyprus","Akaki","to","Larnaca Airport (LCA) -> Akaki","missing","city"
"Akrotiri","1","Cyprus","Akrotiri","to","Larnaca Airport (LCA) -> Akrotiri","missing","city"
"Alassa","1","Cyprus","Alassa","to","Larnaca Airport (LCA) -> Alassa","missing","city"
"Anogyra","1","Cyprus","Anogyra","to","Larnaca Airport (LCA) -> Anogyra","missing","city"
"Arakapas","1","Cyprus","Arakapas","to","Larnaca Airport (LCA) -> Arakapas","missing","city"
"Åre / Are","1","Sweden","Åre / Are","to","Östersund Åre Airport (OSD) -> Åre / Are","missing","city"
"Arendal","1","Norway","Arendal","to","Oslo Gardermoen Airport (OSL) -> Arendal","missing","city"
"Arjeplog","1","Sweden","Arjeplog","to","Luleå Airport (LLA) -> Arjeplog","missing","city"
"Armenochori","1","Cyprus","Armenochori","to","Larnaca Airport (LCA) -> Armenochori","missing","city"
"Ås","1","Norway","Ås","to","Oslo Gardermoen Airport (OSL) -> Ås","missing","city"
"Asker town","1","Norway","Asker town","to","Oslo Gardermoen Airport (OSL) -> Asker town","missing","city"
"Asomatos","1","Cyprus","Asomatos","to","Larnaca Airport (LCA) -> Asomatos","missing","city"
"Avakas Bay","1","Cyprus","Avakas Bay","to","Larnaca Airport (LCA) -> Avakas Bay","missing","city"
"Avdimou","1","Cyprus","Avdimou","to","Larnaca Airport (LCA) -> Avdimou","missing","city"
"Avgorou","1","Cyprus","Avgorou","to","Larnaca Airport (LCA) -> Avgorou","missing","city"
"Azov","1","Russia","Azov","to","Rostov-on-Don Platov Airport (ROV) -> Azov","missing","city"
"Bærum","1","Norway","Bærum","to","Oslo Gardermoen Airport (OSL) -> Bærum","missing","city"
"Barnaul","1","Russia","Barnaul","to","Barnaul Airport (BAX) -> Barnaul","missing","city"
"Bataysk","1","Russia","Bataysk","to","Rostov-on-Don Platov Airport (ROV) -> Bataysk","missing","city"
"Beitostølen (Beitostolen)","1","Norway","Beitostølen (Beitostolen)","to","Oslo Gardermoen Airport (OSL) -> Beitostølen (Beitostolen)","missing","city"
"Bergen City","1","Norway","Bergen City","to","Oslo Gardermoen Airport (OSL) -> Bergen City","missing","city"
"Blanes","1","Spain","Blanes","to","Barcelona El Prat Airport (BCN) -> Blanes","missing","city"
"Boden","1","Sweden","Boden","to","Luleå Airport (LLA) -> Boden","missing","city"
"Boliden","1","Sweden","Boliden","to","Luleå Airport (LLA) -> Boliden","missing","city"
"Borås / Boras","1","Sweden","Borås / Boras","to","Gothenburg Landvetter Airport (GOT) -> Borås / Boras","missing","city"
"Borgholm","1","Sweden","Borgholm","to","Kalmar Airport (KLR) -> Borgholm","missing","city"
"Burgas","1","Bulgaria","Burgas","to","Varna Airport (VAR) -> Burgas","missing","city"
"Canggu","1","Indonesia","Canggu","to","Denpasar Ngurah Rai Airport (DPS) -> Canggu","missing","city"
"Cape Town","1","South Africa","Cape Town","to","Cape Town International Airport (CPT) -> Cape Town","missing","city"
"Cherepovets","1","Russia","Cherepovets","to","Cherepovets Airport (CEE) -> Cherepovets","missing","city"
"Chloraka","1","Cyprus","Chloraka","to","Larnaca Airport (LCA) -> Chloraka","missing","city"
"Chlorakas","1","Cyprus","Chlorakas","to","Paphos Airport (PFO) -> Chlorakas","missing","city"
"City of Dream","1","Cyprus","City of Dream","to","Larnaca Airport (LCA) -> City of Dream","missing","city"
"Dali","1","Cyprus","Dali","to","Larnaca Airport (LCA) -> Dali","missing","city"
"Denver","1","United States of America","Denver","to","Denver International Airport (DEN) -> Denver","missing","city"
"Derynia","1","Cyprus","Derynia","to","Larnaca Airport (LCA) -> Derynia","missing","city"
"Dierona","1","Cyprus","Dierona","to","Larnaca Airport (LCA) -> Dierona","missing","city"
"Dnipro","1","Ukraine","Dnipro","to","Dnipropetrovsk International Airport (DNK) -> Dnipro","missing","city"
"Drammen","1","Norway","Drammen","to","Oslo Gardermoen Airport (OSL) -> Drammen","missing","city"
"Drøbak town","1","Norway","Drøbak town","to","Oslo Gardermoen Airport (OSL) -> Drøbak town","missing","city"
"Enebakk","1","Norway","Enebakk","to","Oslo Gardermoen Airport (OSL) -> Enebakk","missing","city"
"Episkopi","1","Cyprus","Episkopi","to","Larnaca Airport (LCA) -> Episkopi","missing","city"
"Erimi","1","Cyprus","Erimi","to","Larnaca Airport (LCA) -> Erimi","missing","city"
"Fagerstrand","1","Norway","Fagerstrand","to","Oslo Gardermoen Airport (OSL) -> Fagerstrand","missing","city"
"Fasoula","1","Cyprus","Fasoula","to","Larnaca Airport (LCA) -> Fasoula","missing","city"
