"name","count","countries","cities","roles","samples","etoStatus","category"
"Kungsbacka","1","Sweden","Kungsbacka","to","Gothenburg Landvetter Airport (GOT) -> Kungsbacka","missing","city"
"Kvitfjell stasjon, Kvitfjellvegen, Ringebu","1","Norway","Kvitfjell stasjon, Kvitfjellvegen, Ringebu","to","Oslo Gardermoen Airport (OSL) -> Kvitfjell stasjon, Kvitfjellvegen, Ringebu","missing","city"
"Kykkos","1","Cyprus","Kykkos","to","Larnaca Airport (LCA) -> Kykkos","missing","city"
"Kyperounta","1","Cyprus","Kyperounta","to","Larnaca Airport (LCA) -> Kyperounta","missing","city"
"Landskrona","1","Sweden","Landskrona","to","Malmö Sturup Airport (MMX) -> Landskrona","missing","city"
"Langhus","1","Norway","Langhus","to","Oslo Gardermoen Airport (OSL) -> Langhus","missing","city"
"Larvik","1","Norway","Larvik","to","Oslo Gardermoen Airport (OSL) -> Larvik","missing","city"
"Leykara","1","Cyprus","Leykara","to","Larnaca Airport (LCA) -> Leykara","missing","city"
"Lillehammer","1","Norway","Lillehammer","to","Oslo Gardermoen Airport (OSL) -> Lillehammer","missing","city"
"Lillestrøm","1","Norway","Lillestrøm","to","Oslo Gardermoen Airport (OSL) -> Lillestrøm","missing","city"
"Linköping","1","Sweden","Linköping","to","Linköping Airport (LPI) -> Linköping","missing","city"
"Liopetri","1","Cyprus","Liopetri","to","Larnaca Airport (LCA) -> Liopetri","missing","city"
"Lisbon","1","Portugal","Lisbon","to","Lisbon Airport (LIS) -> Lisbon","missing","city"
"Livingstone","1","Zambia","Livingstone","to","Harry Mwanga Nkumbula International Airport (LVI) -> Livingstone","missing","city"
"Lørenskog","1","Norway","Lørenskog","to","Oslo Gardermoen Airport (OSL) -> Lørenskog","missing","city"
"Lund","1","Sweden","Lund","to","Malmö Sturup Airport (MMX) -> Lund","missing","city"
"Lysaker, IT Fornebu, Snaroya (Oslo)","1","Norway","Lysaker, IT Fornebu, Snaroya (Oslo)","to","Oslo Gardermoen Airport (OSL) -> Lysaker, IT Fornebu, Snaroya (Oslo)","missing","city"
"Managri","1","Cyprus","Managri","to","Larnaca Airport (LCA) -> Managri","missing","city"
"Marstrand","1","Sweden","Marstrand","to","Gothenburg Landvetter Airport (GOT) -> Marstrand","missing","city"
"Mazotos","1","Cyprus","Mazotos","to","Larnaca Airport (LCA) -> Mazotos","missing","city"
"Mulhouse","1","France","Mulhouse","to","EuroAirport Basel Mulhouse Freiburg (MLH, BSL, EA -> Mulhouse","missing","city"
"Nesoddtangen","1","Norway","Nesoddtangen","to","Oslo Gardermoen Airport (OSL) -> Nesoddtangen","missing","city"
"Nesøya / Nesbru","1","Norway","Nesøya / Nesbru","to","Oslo Gardermoen Airport (OSL) -> Nesøya / Nesbru","missing","city"
"Nikolaev (Mykolaiv)","1","Ukraine","Nikolaev (Mykolaiv)","to","Nicolaev (Mykolaiv) International Airport (NLV) -> Nikolaev (Mykolaiv)","missing","city"
"Nittedal","1","Norway","Nittedal","to","Oslo Gardermoen Airport (OSL) -> Nittedal","missing","city"
"Norefjell","1","Norway","Norefjell","to","Oslo Gardermoen Airport (OSL) -> Norefjell","missing","city"
"Novocherkassk","1","Russia","Novocherkassk","to","Rostov-on-Don Platov Airport (ROV) -> Novocherkassk","missing","city"
"Novosibirsk","1","Russia","Novosibirsk","to","Novosibirsk Tolmachevo Airport (OVB) -> Novosibirsk","missing","city"
"Odou","1","Cyprus","Odou","to","Larnaca Airport (LCA) -> Odou","missing","city"
"Olympus","1","Cyprus","Olympus","to","Larnaca Airport (LCA) -> Olympus","missing","city"
"Omodos","1","Cyprus","Omodos","to","Larnaca Airport (LCA) -> Omodos","missing","city"
"Omonia","1","Cyprus","Omonia","to","Larnaca Airport (LCA) -> Omonia","missing","city"
"Oppegård","1","Norway","Oppegård","to","Oslo Gardermoen Airport (OSL) -> Oppegård","missing","city"
"Orchid","1","Cyprus","Orchid","to","Larnaca Airport (LCA) -> Orchid","missing","city"
"Örebro / Orebro","1","Sweden","Örebro / Orebro","to","Örebro airport (ORB) -> Örebro / Orebro","missing","city"
"Oslo Winter Park","1","Norway","Oslo Winter Park","to","Oslo Gardermoen Airport (OSL) -> Oslo Winter Park","missing","city"
"Östersund","1","Sweden","Östersund","to","Östersund Åre Airport (OSD) -> Östersund","missing","city"
"Padang Bai","1","Indonesia","Padang Bai","to","Denpasar Ngurah Rai Airport (DPS) -> Padang Bai","missing","city"
"Palodia","1","Cyprus","Palodia","to","Larnaca Airport (LCA) -> Palodia","missing","city"
"Pano Ardes","1","Cyprus","Pano Ardes","to","Paphos Airport (PFO) -> Pano Ardes","missing","city"
"Paramali","1","Cyprus","Paramali","to","Larnaca Airport (LCA) -> Paramali","missing","city"
"Paramytha","1","Cyprus","Paramytha","to","Larnaca Airport (LCA) -> Paramytha","missing","city"
"Piteå / Pitea","1","Sweden","Piteå / Pitea","to","Luleå Airport (LLA) -> Piteå / Pitea","missing","city"
"Platres","1","Cyprus","Platres","to","Larnaca Airport (LCA) -> Platres","missing","city"
"Polemidia","1","Cyprus","Polemidia","to","Larnaca Airport (LCA) -> Polemidia","missing","city"
"Poltava","1","Ukraine","Poltava","to","Poltava Airport (PLV) -> Poltava","missing","city"
"Rygge","1","Norway","Rygge","to","Oslo Gardermoen Airport (OSL) -> Rygge","missing","city"
"Sandvika","1","Norway","Sandvika","to","Oslo Gardermoen Airport (OSL) -> Sandvika","missing","city"
"Seychelles","1","Seychelles","Seychelles","to","Seychelles International Airport (SEZ) -> Seychelles","missing","city"
"Shekvetili","1","Georgia","Shekvetili","to","Alexander Kartveli Batumi Airport (BUS) -> Shekvetili","missing","city"
"Siggerud","1","Norway","Siggerud","to","Oslo Gardermoen Airport (OSL) -> Siggerud","missing","city"
"Signagi","1","Georgia","Signagi","to","Tbilisi Shota Rustaveli Airport (TBS) -> Signagi","missing","city"
"Silkeborg","1","Denmark","Aarhus","to","Billund Airport (BLL) -> Silkeborg","missing","city"
"Ski, Norway","1","Norway","Ski, Norway","to","Oslo Gardermoen Airport (OSL) -> Ski, Norway","missing","city"
"Skjetten","1","Norway","Skjetten","to","Oslo Gardermoen Airport (OSL) -> Skjetten","missing","city"
"Sofiemyr","1","Norway","Sofiemyr","to","Oslo Gardermoen Airport (OSL) -> Sofiemyr","missing","city"
"Son","1","Norway","Son","to","Oslo Gardermoen Airport (OSL) -> Son","missing","city"
"Sotira","1","Cyprus","Sotira","to","Larnaca Airport (LCA) -> Sotira","missing","city"
"Stavanger","1","Norway","Stavanger","to","Oslo Gardermoen Airport (OSL) -> Stavanger","missing","city"
"Strømmen","1","Norway","Strømmen","to","Oslo Gardermoen Airport (OSL) -> Strømmen","missing","city"
"Sundsvall","1","Sweden","Sundsvall","to","Sundsvall Airport (SDL) -> Sundsvall","missing","city"
"Taganrog","1","Russia","Taganrog","to","Rostov-on-Don Platov Airport (ROV) -> Taganrog","missing","city"
"Tersefanou","1","Cyprus","Tersefanou","to","Larnaca Airport (LCA) -> Tersefanou","missing","city"
"Toronto","1","Canada","Toronto","to","Toronto Lester B. Pearson Airport (YYZ) -> Toronto","missing","city"
"Trachoni","1","Cyprus","Trachoni","to","Larnaca Airport (LCA) -> Trachoni","missing","city"
"Trelleborg","1","Sweden","Trelleborg","to","Malmö Sturup Airport (MMX) -> Trelleborg","missing","city"
"Trimiklini","1","Cyprus","Trimiklini","to","Larnaca Airport (LCA) -> Trimiklini","missing","city"
"Trollhättan","1","Sweden","Trollhättan","to","Gothenburg Landvetter Airport (GOT) -> Trollhättan","missing","city"
"Troodos","1","Cyprus","Troodos","to","Larnaca Airport (LCA) -> Troodos","missing","city"
"Trysil","1","Norway","Trysil","to","Oslo Gardermoen Airport (OSL) -> Trysil","missing","city"
"Tseri","1","Cyprus","Tseri","to","Larnaca Airport (LCA) -> Tseri","missing","city"
"Uzhhorod","1","Ukraine","Uzhhorod","to","Uzhhorod International Airport (UDJ) -> Uzhhorod","missing","city"
"Vantaa city, Finland","1","Finland","Vantaa city, Finland","to","Helsinki Vantaa airport (HEL) -> Vantaa city, Finland","missing","city"
