"name","count","countries","cities","roles","samples","etoStatus","category"
"Tokyo Narita Airport (NRT)","28","Japan","Disney Area, Tokyo|Gunma district|Kamakura|Karuizawa|Mount Fuji, Hakone|Tokyo (within 23 wards)|Tokyo Narita Airport (NRT)|Yokohama City|Yokohama port","from|to","Tokyo Narita Airport (NRT) -> Disney Area, Tokyo || Tokyo Narita Airport (NRT) -> Disney Area, Tokyo || Tokyo Narita Airport (NRT) -> Disney Area, Tokyo","missing","airport"
"Istanbul Airport (IST)","26","Turkey","Istanbul","to|from","Asian Side Central (Kavacik, Atasehir, Umraniye, Kadikoy, Uskudar) -> Istanbul Airport (IST) || Asian Side Central (Kavacik, Atasehir, Umraniye, Kadikoy, Uskudar) -> Istanbul Airport (IST) || Asian Side Outskirts (Maltepe, Kartal, Kurtkoy, Sabiha Gokcen Airport) -> Istanbul Airport (IST)","missing","airport"
"Istanbul Sabiha Gokcen Airport (SAW)","26","Turkey","Istanbul","to|from","Asian Side Central (Kavacik, Atasehir, Umraniye, Kadikoy, Uskudar) -> Istanbul Sabiha Gokcen Airport (SAW) || Asian Side Central (Kavacik, Atasehir, Umraniye, Kadikoy, Uskudar) -> Istanbul Sabiha Gokcen Airport (SAW) || Asian Side Outskirts (Maltepe, Kartal, Kurtkoy, Sabiha Gokcen Airport) -> Istanbul Sabiha Gokcen Airport (SAW)","missing","airport"
"Tokyo Haneda Airport (HND)","25","Japan","Disney Area, Tokyo|Gunma district|Kamakura|Karuizawa|Mount Fuji, Hakone|Tokyo (within 23 wards)|Tokyo Haneda Airport (HND)|Yokohama port","from|to","Tokyo Haneda Airport (HND) -> Disney Area, Tokyo || Tokyo Haneda Airport (HND) -> Disney Area, Tokyo || Tokyo Haneda Airport (HND) -> Disney Area, Tokyo","missing","airport"
"Port Everglades","23","United States of America","Dania Beach|Fort Lauderdale City Florida USA|Fort Lauderdale-Hollywood International Airport (FLL)|Miami|Port Everglades|West Palm Beach Airport (PBI)","from|to","Port Everglades -> Dania Beach || Port Everglades -> Fort Lauderdale City Florida USA || Port Everglades -> Fort Lauderdale City Florida USA","missing","port"
"Hong Kong Airport (HKG)","22","China","Central and Western|Estern district Hong Kong|Tai Po|Tuen Mun|Wan Chai district, Hong Kong|Wong Tai Sin|Yuen Long","from","Hong Kong Airport (HKG) -> Central and Western || Hong Kong Airport (HKG) -> Central and Western || Hong Kong Airport (HKG) -> Estern district Hong Kong","missing","airport"
"Zurich Airport (ZRH)","21","Switzerland","Adelboden|Andermatt|Arosa|Ascona|Zurich","from","Zurich Airport (ZRH) -> Adelboden || Zurich Airport (ZRH) -> Adelboden || Zurich Airport (ZRH) -> Adelboden","missing","airport"
"Copenhagen Kastrup Airport (CPH)","20","Denmark|Sweden","Copenhagen|Glostrup|Gøteborg / Göteborg / Gothenburg|Malmö / Malmo|Malmö Sturup Airport (MMX)|Roskilde|Copenhagen Kastrup Airport (CPH)","from|to","Copenhagen Kastrup Airport (CPH) -> Copenhagen || Copenhagen Kastrup Airport (CPH) -> Copenhagen || Copenhagen Kastrup Airport (CPH) -> Copenhagen","missing","airport"
"Port of Miami","20","United States of America","Fort Lauderdale-Hollywood International Airport (FLL)|Miami|Miami Beach|Port of Miami","from|to","Port of Miami -> Fort Lauderdale-Hollywood International Airport (FLL) || Port of Miami -> Fort Lauderdale-Hollywood International Airport (FLL) || Port of Miami -> Fort Lauderdale-Hollywood International Airport (FLL)","missing","port"
"Cairo International Airport (CAI)","19","Egypt","6 of October|Cairo city centre|El Alamein|Giza|Heliopolis|Hurghada|Marsa Matrouh|Ras Suder|Sharm El Sheikh|Suez city centre","from","Cairo International Airport (CAI) -> 6 of October || Cairo International Airport (CAI) -> 6 of October || Cairo International Airport (CAI) -> Cairo city centre","missing","airport"
"Dubai Al Maktoum Airport (DWC)","19","United Arab Emirates","Dubai Al Maktoum Airport (DWC)|Dubai international Airport (DXB)","to|from","Dubai international Airport (DXB) -> Dubai Al Maktoum Airport (DWC) || Dubai international Airport (DXB) -> Dubai Al Maktoum Airport (DWC) || Dubai international Airport (DXB) -> Dubai Al Maktoum Airport (DWC)","missing","airport"
"Dalaman Airport (DLM)","18","Turkey","Bozburun (Marmaris)|Datça|Hisarönü (Marmaris)|Marmaris|Selimiye (Marmaris)|Turunç (Marmaris)","from","Dalaman Airport (DLM) -> Bozburun (Marmaris) || Dalaman Airport (DLM) -> Bozburun (Marmaris) || Dalaman Airport (DLM) -> Bozburun (Marmaris)","missing","airport"
"Paphos Airport (PFO)","18","Cyprus","Ayia Napa|Chlorakas|Gioliu|Katikas|Kouklia|Larnaca|Limassol|Nicosia|Pano Ardes|Paphos|Paralimni|Pegeia|Pissouri|Polis|Pomos|Protaras|Tala|Tsada","from","Paphos Airport (PFO) -> Ayia Napa || Paphos Airport (PFO) -> Chlorakas || Paphos Airport (PFO) -> Gioliu","missing","airport"
"Singapore Changi Airport (SIN)","18","Singapore","Singapore Cruise Terminal|Singapore East|Singapore North|Singapore Sentosa Island|Singapore West|Singapore city center","from","Singapore Changi Airport (SIN) -> Singapore Cruise Terminal || Singapore Changi Airport (SIN) -> Singapore Cruise Terminal || Singapore Changi Airport (SIN) -> Singapore Cruise Terminal","missing","airport"
"Busan Gimhae Airport (PUS)","17","South Korea","Busan|Daegu|Geoje Island|Gijang-gun|Gyeongju|Jeonju","from","Busan Gimhae Airport (PUS) -> Busan || Busan Gimhae Airport (PUS) -> Busan || Busan Gimhae Airport (PUS) -> Busan","missing","airport"
"Baku Heydar Aliyev International Airport (GYD)","16","Azerbaijan","Baku|Naftalan|Shahdag (Quba, Qusar)|Tufandag (Gabala)","from","Baku Heydar Aliyev International Airport (GYD) -> Baku || Baku Heydar Aliyev International Airport (GYD) -> Baku || Baku Heydar Aliyev International Airport (GYD) -> Baku","missing","airport"
"Elabuga Begishevo Airport (NBC)","16","Russia","Elabuga|Naberezhnye Chelny|Nizhnekamsk","from","Elabuga Begishevo Airport (NBC) -> Elabuga || Elabuga Begishevo Airport (NBC) -> Elabuga || Elabuga Begishevo Airport (NBC) -> Elabuga","missing","airport"
"Mineralnye Vody airport (MRV)","16","Russia","Kislovodsk|Mineral'nie Vody|Pyatigorsk","from","Mineralnye Vody airport (MRV) -> Kislovodsk || Mineralnye Vody airport (MRV) -> Kislovodsk || Mineralnye Vody airport (MRV) -> Kislovodsk","missing","airport"
"Barcelona El Prat Airport (BCN)","15","Spain","Barcelona|Barcelona El Prat Airport (BCN)|Blanes|Calella|Port of Barcelona","from|to","Barcelona El Prat Airport (BCN) -> Barcelona || Barcelona El Prat Airport (BCN) -> Barcelona || Barcelona El Prat Airport (BCN) -> Barcelona","missing","airport"
"Malmö Sturup Airport (MMX)","14","Denmark|Sweden","Malmö Sturup Airport (MMX)|Copenhagen|Copenhagen Kastrup Airport (CPH)|Gøteborg / Göteborg / Gothenburg|Helsingborg|Landskrona|Lund|Malmö / Malmo|Trelleborg|Ystad","to|from","Copenhagen Kastrup Airport (CPH) -> Malmö Sturup Airport (MMX) || Copenhagen Kastrup Airport (CPH) -> Malmö Sturup Airport (MMX) || Copenhagen Kastrup Airport (CPH) -> Malmö Sturup Airport (MMX)","missing","airport"
"Samara Kurumoch International Airport (KUF)","14","Russia","Kazan|Samara|Tolyatti","from","Samara Kurumoch International Airport (KUF) -> Kazan || Samara Kurumoch International Airport (KUF) -> Kazan || Samara Kurumoch International Airport (KUF) -> Samara","missing","airport"
"Don Sak Pier, Surat Thani","13","Thailand","Don Sak Pier, Surat Thani","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Don Sak Pier, Surat Thani || Koh Samui - Mae Nam Port (Surat Thani ) -> Don Sak Pier, Surat Thani || Krabi International Airport (KBV) -> Don Sak Pier, Surat Thani","missing","port"
"International Airport Irkutsk (IKT)","13","Russia","Irkutsk|Listvyanka|Tankhoi","from","International Airport Irkutsk (IKT) -> Irkutsk || International Airport Irkutsk (IKT) -> Irkutsk || International Airport Irkutsk (IKT) -> Irkutsk","missing","airport"
"Luleå Airport (LLA)","13","Sweden","Arjeplog|Boden|Boliden|Gällivare|Harads|Jokkmokk|Kiruna|Luleå|Piteå / Pitea|Rovaniemi City|Skellefteå|Umeå","from","Luleå Airport (LLA) -> Arjeplog || Luleå Airport (LLA) -> Boden || Luleå Airport (LLA) -> Boliden","missing","airport"
"Sharm el-Sheikh International Airport (SSH)","13","Egypt","Dahab|FUN&SUN FAMILY Albatros Palace|Grand Rotana Resort|Nabq Bay|Saint Catherine|Sharm El Sheikh|Taba","from","Sharm el-Sheikh International Airport (SSH) -> Dahab || Sharm el-Sheikh International Airport (SSH) -> Dahab || Sharm el-Sheikh International Airport (SSH) -> FUN&SUN FAMILY Albatros Palace","missing","airport"
"Taipei Songshan Airport (TSA)","12","Taiwan","Keelung City|New Taipei|Taipei|Taoyuan City","from","Taipei Songshan Airport (TSA) -> Keelung City || Taipei Songshan Airport (TSA) -> Keelung City || Taipei Songshan Airport (TSA) -> Keelung City","missing","airport"
"Taipei Taiwan Taoyuan Airport (TPE)","12","Taiwan","Keelung City|New Taipei|Taipei|Taoyuan City","from","Taipei Taiwan Taoyuan Airport (TPE) -> Keelung City || Taipei Taiwan Taoyuan Airport (TPE) -> Keelung City || Taipei Taiwan Taoyuan Airport (TPE) -> Keelung City","missing","airport"
"Simferopol' Airport (SIP)","11","Russia","Sevastopol'|Simferopol'","from","Simferopol' Airport (SIP) -> Sevastopol' || Simferopol' Airport (SIP) -> Sevastopol' || Simferopol' Airport (SIP) -> Sevastopol'","missing","airport"
"Trang Airport (TST)","11","Thailand","Kamala beach, Phuket|Phuket International Airport (HKT)|Phuket Island to delete|Railay, Krabi|Sakhu, Phuket|Wichit, Mueang, Phuket","from","Trang Airport (TST) -> Kamala beach, Phuket || Trang Airport (TST) -> Kamala beach, Phuket || Trang Airport (TST) -> Phuket International Airport (HKT)","missing","airport"
"Charles de Gaulle Airport (CDG)","10","France","Disneyland|Paris","from","Charles de Gaulle Airport (CDG) -> Disneyland || Charles de Gaulle Airport (CDG) -> Disneyland || Charles de Gaulle Airport (CDG) -> Disneyland","missing","airport"
"Denpasar Ngurah Rai Airport (DPS)","10","Indonesia","Amed Beach|Canggu|Denpasar Ngurah Rai Airport (DPS)|Jimbaran|Kuta, Seminyak|Lovina Beach|Nusa dua|Padang Bai|Ubud|Uluwatu","from|to","Denpasar Ngurah Rai Airport (DPS) -> Amed Beach || Denpasar Ngurah Rai Airport (DPS) -> Canggu || Ubud -> Denpasar Ngurah Rai Airport (DPS)","missing","airport"
"Hurghada Airport (HRG)","10","Egypt","El Gouna|Hurghada|Makadi Bay|Safaga|Soma Bay","from","Hurghada Airport (HRG) -> El Gouna || Hurghada Airport (HRG) -> El Gouna || Hurghada Airport (HRG) -> Hurghada","missing","airport"
"Paris Beauvais Airport (BVA)","10","France","Disneyland|Paris","from","Paris Beauvais Airport (BVA) -> Disneyland || Paris Beauvais Airport (BVA) -> Disneyland || Paris Beauvais Airport (BVA) -> Disneyland","missing","airport"
"Paris Orly Airport (ORY)","10","France","Disneyland|Paris","from","Paris Orly Airport (ORY) -> Disneyland || Paris Orly Airport (ORY) -> Disneyland || Paris Orly Airport (ORY) -> Disneyland","missing","airport"
"Gothenburg Landvetter Airport (GOT)","9","Sweden","Borås / Boras|Gøteborg / Göteborg / Gothenburg|Huskvarna|Jonköping / Jonkoping|Kungsbacka|Kungälv / Kungalv|Marstrand|Trollhättan","from","Gothenburg Landvetter Airport (GOT) -> Borås / Boras || Gothenburg Landvetter Airport (GOT) -> Gøteborg / Göteborg / Gothenburg || Gothenburg Landvetter Airport (GOT) -> Gøteborg / Göteborg / Gothenburg","missing","airport"
"Kaohsiung Airport (KHH)","9","Taiwan","Donggang Township|Pingdong City|Xinyuan Township","from","Kaohsiung Airport (KHH) -> Donggang Township || Kaohsiung Airport (KHH) -> Donggang Township || Kaohsiung Airport (KHH) -> Donggang Township","missing","airport"
"Osaka Kansai Airport (KIX)","9","Japan","Kobe|Kyoto|Osaka","from","Osaka Kansai Airport (KIX) -> Kobe || Osaka Kansai Airport (KIX) -> Kobe || Osaka Kansai Airport (KIX) -> Kobe","missing","airport"
"Pattaya–Rayong U-Tapao Airport (UTP)","9","Thailand","Bangkok SUVarnabhumi Airport (BKK)|Pattaya|Pattaya–Rayong U-Tapao Airport (UTP)","from|to","Pattaya–Rayong U-Tapao Airport (UTP) -> Bangkok SUVarnabhumi Airport (BKK) || Pattaya–Rayong U-Tapao Airport (UTP) -> Bangkok SUVarnabhumi Airport (BKK) || Pattaya–Rayong U-Tapao Airport (UTP) -> Bangkok SUVarnabhumi Airport (BKK)","missing","airport"
"Tbilisi Shota Rustaveli Airport (TBS)","9","Georgia","Signagi|Tbilisi|Tbilisi Shota Rustaveli Airport (TBS)","from|to","Tbilisi Shota Rustaveli Airport (TBS) -> Signagi || Tbilisi Shota Rustaveli Airport (TBS) -> Tbilisi || Tbilisi Shota Rustaveli Airport (TBS) -> Tbilisi","missing","airport"
"Yokohama port","9","Japan","Yokohama port","to","Tokyo (within 23 wards) -> Yokohama port || Tokyo (within 23 wards) -> Yokohama port || Tokyo (within 23 wards) -> Yokohama port","missing","port"
"Asian Side Outskirts (Maltepe, Kartal, Kurtkoy, Sabiha Gokcen Airport)","8","Turkey","Istanbul","from|to","Asian Side Outskirts (Maltepe, Kartal, Kurtkoy, Sabiha Gokcen Airport) -> Istanbul Airport (IST) || Asian Side Outskirts (Maltepe, Kartal, Kurtkoy, Sabiha Gokcen Airport) -> Istanbul Airport (IST) || Asian Side Outskirts (Maltepe, Kartal, Kurtkoy, Sabiha Gokcen Airport) -> Istanbul Sabiha Gokcen Airport (SAW)","missing","airport"
"Fujairah International Airport (FJR)","8","United Arab Emirates","Fujairah International Airport (FJR)","to","Dubai international Airport (DXB) -> Fujairah International Airport (FJR) || Dubai international Airport (DXB) -> Fujairah International Airport (FJR) || Dubai international Airport (DXB) -> Fujairah International Airport (FJR)","missing","airport"
"Milas–Bodrum International Airport (BJV)","8","Russia|Turkey","Bodrum|Kusadası|Torba","from","Milas–Bodrum International Airport (BJV) -> Bodrum || Milas–Bodrum International Airport (BJV) -> Bodrum || Milas–Bodrum International Airport (BJV) -> Bodrum","missing","airport"
"New York John F. Kennedy Airport (JFK)","8","United States of America","New York","from","New York John F. Kennedy Airport (JFK) -> New York || New York John F. Kennedy Airport (JFK) -> New York || New York John F. Kennedy Airport (JFK) -> New York","missing","airport"
"Rostov-on-Don Platov Airport (ROV)","8","Russia","Azov|Bataysk|Novocherkassk|Rostov-on-Don|Taganrog","from","Rostov-on-Don Platov Airport (ROV) -> Azov || Rostov-on-Don Platov Airport (ROV) -> Bataysk || Rostov-on-Don Platov Airport (ROV) -> Novocherkassk","missing","airport"
"Alexander Kartveli Batumi Airport (BUS)","7","Georgia","Batumi|Shekvetili","from","Alexander Kartveli Batumi Airport (BUS) -> Batumi || Alexander Kartveli Batumi Airport (BUS) -> Batumi || Alexander Kartveli Batumi Airport (BUS) -> Batumi","missing","airport"
"Berlin Brandenburg Airport (BER)","7","Germany","Berlin","from","Berlin Brandenburg Airport (BER) -> Berlin || Berlin Brandenburg Airport (BER) -> Berlin || Berlin Brandenburg Airport (BER) -> Berlin","missing","airport"
"Lahore Allama Iqbal International Airport (LHE)","7","Pakistan","Lahore","from","Lahore Allama Iqbal International Airport (LHE) -> Lahore || Lahore Allama Iqbal International Airport (LHE) -> Lahore || Lahore Allama Iqbal International Airport (LHE) -> Lahore","missing","airport"
"Surgut International Airport (SGC)","7","Russia","Surgut","from","Surgut International Airport (SGC) -> Surgut || Surgut International Airport (SGC) -> Surgut || Surgut International Airport (SGC) -> Surgut","missing","airport"
"Yerevan Zvartnots Airport (EVN)","7","Armenia","Yerevan","from","Yerevan Zvartnots Airport (EVN) -> Yerevan || Yerevan Zvartnots Airport (EVN) -> Yerevan || Yerevan Zvartnots Airport (EVN) -> Yerevan","missing","airport"
"Beijing Capital International Airport (PEK)","6","China","Beijing city center","from","Beijing Capital International Airport (PEK) -> Beijing city center || Beijing Capital International Airport (PEK) -> Beijing city center || Beijing Capital International Airport (PEK) -> Beijing city center","missing","airport"
"David the Builder Kutaisi Airport (KUT)","6","Georgia","Kutaisi","from","David the Builder Kutaisi Airport (KUT) -> Kutaisi || David the Builder Kutaisi Airport (KUT) -> Kutaisi || David the Builder Kutaisi Airport (KUT) -> Kutaisi","missing","airport"
"Gelendzhik Airport (GDZ)","6","Russia","Gelendzhik","from","Gelendzhik Airport (GDZ) -> Gelendzhik || Gelendzhik Airport (GDZ) -> Gelendzhik || Gelendzhik Airport (GDZ) -> Gelendzhik","missing","airport"
"Krasnodar International Airport (KRR)","6","Russia","Gelendzhik|Krasnodar","from","Krasnodar International Airport (KRR) -> Gelendzhik || Krasnodar International Airport (KRR) -> Krasnodar || Krasnodar International Airport (KRR) -> Krasnodar","missing","airport"
"Krasnoyarsk Yemelyanovo Airport (KJA)","6","Russia","Krasnoyarsk","from","Krasnoyarsk Yemelyanovo Airport (KJA) -> Krasnoyarsk || Krasnoyarsk Yemelyanovo Airport (KJA) -> Krasnoyarsk || Krasnoyarsk Yemelyanovo Airport (KJA) -> Krasnoyarsk","missing","airport"
"Malaga Airport (AGP)","6","Spain","Malaga","from","Malaga Airport (AGP) -> Malaga || Malaga Airport (AGP) -> Malaga || Malaga Airport (AGP) -> Malaga","missing","airport"
"Milan Linate Airport (LIN)","6","Italy","Milan","from","Milan Linate Airport (LIN) -> Milan || Milan Linate Airport (LIN) -> Milan || Milan Linate Airport (LIN) -> Milan","missing","airport"
"Novokuznetsk Airport (NOZ)","6","Russia","Novokuznetsk","from","Novokuznetsk Airport (NOZ) -> Novokuznetsk || Novokuznetsk Airport (NOZ) -> Novokuznetsk || Novokuznetsk Airport (NOZ) -> Novokuznetsk","missing","airport"
"Port of Stockholm (Nynäshamn)","6","Sweden","Port of Stockholm (Nynäshamn)|Stockholm Arlanda Airport (ARN)|Stockholm city center","to|from","Stockholm Arlanda Airport (ARN) -> Port of Stockholm (Nynäshamn) || Stockholm Arlanda Airport (ARN) -> Port of Stockholm (Nynäshamn) || Port of Stockholm (Nynäshamn) -> Stockholm Arlanda Airport (ARN)","missing","port"
"Saratov Tsentralny Airport (RTW)","6","Russia","Saratov","from","Saratov Tsentralny Airport (RTW) -> Saratov || Saratov Tsentralny Airport (RTW) -> Saratov || Saratov Tsentralny Airport (RTW) -> Saratov","missing","airport"
