"name","count","countries","cities","roles","samples","etoStatus","category"
"Inglewood","28","United States of America","Inglewood","to","John Wayne Airport (SNA) -> Inglewood || John Wayne Airport (SNA) -> Inglewood || John Wayne Airport (SNA) -> Inglewood","missing","district_area"
"Laguna Beach","28","United States of America","Laguna Beach","to","John Wayne Airport (SNA) -> Laguna Beach || John Wayne Airport (SNA) -> Laguna Beach || John Wayne Airport (SNA) -> Laguna Beach","missing","district_area"
"Beverly Hills","24","United States of America","Beverly Hills|Los Angeles","to","John Wayne Airport (SNA) -> Beverly Hills || John Wayne Airport (SNA) -> Beverly Hills || John Wayne Airport (SNA) -> Beverly Hills","missing","district_area"
"Miami Beach","24","United States of America","Fort Lauderdale-Hollywood International Airport (FLL)|Miami Beach|Miami airport (MIA)|Port of Miami","from|to","Miami Beach -> Fort Lauderdale-Hollywood International Airport (FLL) || Miami Beach -> Fort Lauderdale-Hollywood International Airport (FLL) || Miami Beach -> Fort Lauderdale-Hollywood International Airport (FLL)","missing","district_area"
"Santa Monica","24","United States of America","Los Angeles|Santa Monica","to","Los Angeles Airport (LAX) -> Santa Monica || Los Angeles Airport (LAX) -> Santa Monica || Los Angeles Airport (LAX) -> Santa Monica","missing","district_area"
"Stockholm city center","15","Norway|Sweden","Stockholm city center","to","Oslo Gardermoen Airport (OSL) -> Stockholm city center || Port of Stockholm (Frihamnen) -> Stockholm city center || Port of Stockholm (Frihamnen) -> Stockholm city center","missing","district_area"
"Fort Lauderdale City Florida USA","14","United States of America","Fort Lauderdale City Florida USA","to","Fort Lauderdale-Hollywood International Airport (FLL) -> Fort Lauderdale City Florida USA || Fort Lauderdale-Hollywood International Airport (FLL) -> Fort Lauderdale City Florida USA || Fort Lauderdale-Hollywood International Airport (FLL) -> Fort Lauderdale City Florida USA","missing","district_area"
"Long Beach","14","United States of America","Long Beach","to","John Wayne Airport (SNA) -> Long Beach || John Wayne Airport (SNA) -> Long Beach || John Wayne Airport (SNA) -> Long Beach","missing","district_area"
"Downtown Dubai","12","United Arab Emirates","Downtown Dubai","to","Abu Dhabi International Airport (AUH) -> Downtown Dubai || Abu Dhabi International Airport (AUH) -> Downtown Dubai || Dubai international Airport (DXB) -> Downtown Dubai","missing","district_area"
"West Palm Beach Florida USA","12","United States of America","West Palm Beach Florida USA","to","Fort Lauderdale-Hollywood International Airport (FLL) -> West Palm Beach Florida USA || Fort Lauderdale-Hollywood International Airport (FLL) -> West Palm Beach Florida USA || Fort Lauderdale-Hollywood International Airport (FLL) -> West Palm Beach Florida USA","missing","district_area"
"Al Barsha, Dubai","10","United Arab Emirates","Al Barsha, Dubai","to","Dubai international Airport (DXB) -> Al Barsha, Dubai || Dubai international Airport (DXB) -> Al Barsha, Dubai || Dubai international Airport (DXB) -> Al Barsha, Dubai","missing","district_area"
"Bur Dubai Area","10","United Arab Emirates","Bur Dubai Area","to","Dubai international Airport (DXB) -> Bur Dubai Area || Dubai international Airport (DXB) -> Bur Dubai Area || Dubai international Airport (DXB) -> Bur Dubai Area","missing","district_area"
"Deira Dubai","10","United Arab Emirates","Deira Dubai","to","Dubai international Airport (DXB) -> Deira Dubai || Dubai international Airport (DXB) -> Deira Dubai || Dubai international Airport (DXB) -> Deira Dubai","missing","district_area"
"Dubai Marina","10","United Arab Emirates","Dubai Marina","to","Dubai international Airport (DXB) -> Dubai Marina || Dubai international Airport (DXB) -> Dubai Marina || Dubai international Airport (DXB) -> Dubai Marina","missing","district_area"
"Kamala beach, Phuket","10","Thailand","Kamala beach, Phuket","to","Krabi International Airport (KBV) -> Kamala beach, Phuket || Krabi International Airport (KBV) -> Kamala beach, Phuket || Phuket International Airport (HKT) -> Kamala beach, Phuket","missing","district_area"
"Kiev City center","10","Ukraine","Kiev City center","to","Kiev Boryspil International Airport (KBP) -> Kiev City center || Kiev Boryspil International Airport (KBP) -> Kiev City center || Kiev Boryspil International Airport (KBP) -> Kiev City center","missing","district_area"
"Shanghai city center","10","China","Shanghai city center","to","Shanghai Hongqiao International Airport (SHA) -> Shanghai city center || Shanghai Hongqiao International Airport (SHA) -> Shanghai city center || Shanghai Hongqiao International Airport (SHA) -> Shanghai city center","missing","district_area"
"Bangkok Outskirts","9","Thailand","Bangkok Outskirts","to","Bangkok Don Muang Airport (DMK) -> Bangkok Outskirts || Bangkok Don Muang Airport (DMK) -> Bangkok Outskirts || Bangkok Don Muang Airport (DMK) -> Bangkok Outskirts","missing","district_area"
"Beijing city center","9","China","Beijing city center","to","Beijing Capital International Airport (PEK) -> Beijing city center || Beijing Capital International Airport (PEK) -> Beijing city center || Beijing Capital International Airport (PEK) -> Beijing city center","missing","district_area"
"Disney Area, Tokyo","9","Japan","Disney Area, Tokyo","to","Tokyo (within 23 wards) -> Disney Area, Tokyo || Tokyo (within 23 wards) -> Disney Area, Tokyo || Tokyo (within 23 wards) -> Disney Area, Tokyo","missing","district_area"
"Gunma district","9","Japan","Gunma district","to","Tokyo (within 23 wards) -> Gunma district || Tokyo (within 23 wards) -> Gunma district || Tokyo (within 23 wards) -> Gunma district","missing","district_area"
"Dubai N-E Outskirts","8","United Arab Emirates","Dubai N-E Outskirts","to","Dubai international Airport (DXB) -> Dubai N-E Outskirts || Dubai international Airport (DXB) -> Dubai N-E Outskirts || Dubai international Airport (DXB) -> Dubai N-E Outskirts","missing","district_area"
"Global Village, Dubai","8","United Arab Emirates","Global Village, Dubai","to","Dubai international Airport (DXB) -> Global Village, Dubai || Dubai international Airport (DXB) -> Global Village, Dubai || Dubai international Airport (DXB) -> Global Village, Dubai","missing","district_area"
"JVC Dubai","8","United Arab Emirates","JVC Dubai","to","Dubai international Airport (DXB) -> JVC Dubai || Dubai international Airport (DXB) -> JVC Dubai || Dubai international Airport (DXB) -> JVC Dubai","missing","district_area"
"Kata Village and Beach, Phuket","8","Thailand","Kata Village and Beach, Phuket","to","Krabi International Airport (KBV) -> Kata Village and Beach, Phuket || Krabi International Airport (KBV) -> Kata Village and Beach, Phuket || Phuket International Airport (HKT) -> Kata Village and Beach, Phuket","missing","district_area"
"Surat Thani district","8","Thailand","Surat Thani district","to","Krabi International Airport (KBV) -> Surat Thani district || Krabi International Airport (KBV) -> Surat Thani district || Phuket International Airport (HKT) -> Surat Thani district","missing","district_area"
"Bangrak Beach","7","Thailand","Bangrak Beach","to","Bangkok Suvarnabhumi Airport (BKK) -> Bangrak Beach || Bangkok Suvarnabhumi Airport (BKK) -> Bangrak Beach || Koh Samui - Mae Nam Port (Surat Thani ) -> Bangrak Beach","missing","district_area"
"Choengmom beach and gardens","7","Thailand","Choengmom beach and gardens","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Choengmom beach and gardens || Koh Samui - Mae Nam Port (Surat Thani ) -> Choengmom beach and gardens || Samui International Airport (USM) -> Choengmom beach and gardens","missing","district_area"
"Discovery Gardens Dubai","7","United Arab Emirates","Discovery Gardens Dubai","to","Dubai international Airport (DXB) -> Discovery Gardens Dubai || Dubai international Airport (DXB) -> Discovery Gardens Dubai || Dubai international Airport (DXB) -> Discovery Gardens Dubai","missing","district_area"
"Downtown Los Angeles","7","United States of America","Downtown Los Angeles","to","John Wayne Airport (SNA) -> Downtown Los Angeles || John Wayne Airport (SNA) -> Downtown Los Angeles || John Wayne Airport (SNA) -> Downtown Los Angeles","missing","district_area"
"Ko Kaeo, Muaeng, Phuket","7","Thailand","Ko Kaeo, Muaeng, Phuket","to","Phuket International Airport (HKT) -> Ko Kaeo, Muaeng, Phuket || Phuket International Airport (HKT) -> Ko Kaeo, Muaeng, Phuket || Phuket International Airport (HKT) -> Ko Kaeo, Muaeng, Phuket","missing","island"
"Marrakesh city centre (riads)","7","Morocco","Marrakesh city centre (riads)","to","Marrakesh Menara Airport (RAK) -> Marrakesh city centre (riads) || Marrakesh Menara Airport (RAK) -> Marrakesh city centre (riads) || Marrakesh Menara Airport (RAK) -> Marrakesh city centre (riads)","missing","district_area"
"Marrakesh outskirts","7","Morocco","Marrakesh outskirts","to","Marrakesh Menara Airport (RAK) -> Marrakesh outskirts || Marrakesh Menara Airport (RAK) -> Marrakesh outskirts || Marrakesh Menara Airport (RAK) -> Marrakesh outskirts","missing","district_area"
"Newport Beach","7","United States of America","Newport Beach","to","John Wayne Airport (SNA) -> Newport Beach || John Wayne Airport (SNA) -> Newport Beach || John Wayne Airport (SNA) -> Newport Beach","missing","district_area"
"Santa Ana+Irvine+Huntington Beach","7","United States of America","Santa Ana+Irvine+Huntington Beach","to","Long Beach Airport (LGB) -> Santa Ana+Irvine+Huntington Beach || Long Beach Airport (LGB) -> Santa Ana+Irvine+Huntington Beach || Long Beach Airport (LGB) -> Santa Ana+Irvine+Huntington Beach","missing","district_area"
"Silicon Oasis / International City Dubai","7","United Arab Emirates","Silicon Oasis / International City Dubai","to","Dubai international Airport (DXB) -> Silicon Oasis / International City Dubai || Dubai international Airport (DXB) -> Silicon Oasis / International City Dubai || Dubai international Airport (DXB) -> Silicon Oasis / International City Dubai","missing","district_area"
"Ao Luek District, Krabi","6","Thailand","Ao Luek District, Krabi","to","Phuket International Airport (HKT) -> Ao Luek District, Krabi || Phuket International Airport (HKT) -> Ao Luek District, Krabi || Phuket International Airport (HKT) -> Ao Luek District, Krabi","missing","district_area"
"Bophut Beach","6","Thailand","Bophut Beach","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Bophut Beach || Koh Samui - Mae Nam Port (Surat Thani ) -> Bophut Beach || Samui International Airport (USM) -> Bophut Beach","missing","district_area"
"Hollywood","6","United States of America","Hollywood","to","Port of Los Angeles -> Hollywood || Port of Los Angeles -> Hollywood || Port of Los Angeles -> Hollywood","missing","district_area"
"Karon Beach, Phuket","6","Thailand","Karon Beach, Phuket","to","Phuket International Airport (HKT) -> Karon Beach, Phuket || Phuket International Airport (HKT) -> Karon Beach, Phuket || Phuket International Airport (HKT) -> Karon Beach, Phuket","missing","district_area"
"Sangklaburi District Provincial","6","Thailand","Sangklaburi District Provincial","to","Bangkok Don Muang Airport (DMK) -> Sangklaburi District Provincial || Bangkok Don Muang Airport (DMK) -> Sangklaburi District Provincial || Bangkok Suvarnabhumi Airport (BKK) -> Sangklaburi District Provincial","missing","district_area"
"Sathorn district, Bangkok","6","Thailand","Sathorn district, Bangkok","to","Bangkok Don Muang Airport (DMK) -> Sathorn district, Bangkok || Bangkok Don Muang Airport (DMK) -> Sathorn district, Bangkok || Bangkok Suvarnabhumi Airport (BKK) -> Sathorn district, Bangkok","missing","district_area"
"Angthong district","5","Thailand","Angthong district","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Angthong district || Koh Samui - Mae Nam Port (Surat Thani ) -> Angthong district || Samui International Airport (USM) -> Angthong district","missing","district_area"
"Cha Am Beach, Phetchaburi","5","Thailand","Cha Am Beach, Phetchaburi","to","Bangkok Suvarnabhumi Airport (BKK) -> Cha Am Beach, Phetchaburi || Bangkok Suvarnabhumi Airport (BKK) -> Cha Am Beach, Phetchaburi || Bangkok Suvarnabhumi Airport (BKK) -> Cha Am Beach, Phetchaburi","missing","district_area"
"GuangZhou city center","5","China","GuangZhou city center","to","Guangzhou Baiyun International Airport (CAN) -> GuangZhou city center || Guangzhou Baiyun International Airport (CAN) -> GuangZhou city center || Guangzhou Baiyun International Airport (CAN) -> GuangZhou city center","missing","district_area"
"Mae Nam Ko Samui Thailand","5","Thailand","Mae Nam Ko Samui Thailand","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Mae Nam Ko Samui Thailand || Samui International Airport (USM) -> Mae Nam Ko Samui Thailand || Samui International Airport (USM) -> Mae Nam Ko Samui Thailand","missing","island"
"Mueang Phuket District","5","Thailand","Mueang Phuket District","to","Phuket International Airport (HKT) -> Mueang Phuket District || Phuket International Airport (HKT) -> Mueang Phuket District || Phuket International Airport (HKT) -> Mueang Phuket District","missing","district_area"
"Antalya city centre district","4","Turkey","Antalya city centre district","to","Antalya Airport (AYT) -> Antalya city centre district || Antalya Airport (AYT) -> Antalya city centre district || Antalya Airport (AYT) -> Antalya city centre district","missing","district_area"
"Ko Pha-ngan District, Surat Thani","4","Thailand","Ko Pha-ngan District, Surat Thani","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Ko Pha-ngan District, Surat Thani || Koh Samui - Mae Nam Port (Surat Thani ) -> Ko Pha-ngan District, Surat Thani || Phuket International Airport (HKT) -> Ko Pha-ngan District, Surat Thani","missing","district_area"
"Kundu beach","4","Turkey","Kundu beach","to","Antalya Airport (AYT) -> Kundu beach || Antalya Airport (AYT) -> Kundu beach || Antalya Airport (AYT) -> Kundu beach","missing","district_area"
"London City Center","4","United Kingdom","London City Center","to","London Heathrow Airport (LHR) -> London City Center || London Heathrow Airport (LHR) -> London City Center || London Heathrow Airport (LHR) -> London City Center","missing","district_area"
"Pattaya Jomtein beach, Pattaya","4","Thailand","Pattaya Jomtein beach, Pattaya","to","Bangkok Don Muang Airport (DMK) -> Pattaya Jomtein beach, Pattaya || Bangkok Don Muang Airport (DMK) -> Pattaya Jomtein beach, Pattaya || Bangkok Suvarnabhumi Airport (BKK) -> Pattaya Jomtein beach, Pattaya","missing","district_area"
"Phra Nakhon, Bangkok","4","Thailand","Phra Nakhon, Bangkok","to","Bangkok Don Muang Airport (DMK) -> Phra Nakhon, Bangkok || Bangkok Don Muang Airport (DMK) -> Phra Nakhon, Bangkok || Bangkok Suvarnabhumi Airport (BKK) -> Phra Nakhon, Bangkok","missing","district_area"
"Sattahip District","4","Thailand","Sattahip District","to","Bangkok Suvarnabhumi Airport (BKK) -> Sattahip District || Bangkok Suvarnabhumi Airport (BKK) -> Sattahip District || Bangkok Suvarnabhumi Airport (BKK) -> Sattahip District","missing","district_area"
"Shenzhen city center","4","China","Shenzhen city center","to","Shenzhen Bao'an International Airport (SZX) -> Shenzhen city center || Shenzhen Bao'an International Airport (SZX) -> Shenzhen city center || Shenzhen Bao'an International Airport (SZX) -> Shenzhen city center","missing","district_area"
"Side district","4","Turkey","Side district","to","Antalya Airport (AYT) -> Side district || Antalya Airport (AYT) -> Side district || Antalya Airport (AYT) -> Side district","missing","district_area"
"Silom, Bangkok","4","Thailand","Silom, Bangkok","to","Bangkok Don Muang Airport (DMK) -> Silom, Bangkok || Bangkok Don Muang Airport (DMK) -> Silom, Bangkok || Bangkok Suvarnabhumi Airport (BKK) -> Silom, Bangkok","missing","district_area"
"Sukhumvit Road, Bangkok","4","Thailand","Sukhumvit Road, Bangkok","to","Bangkok Don Muang Airport (DMK) -> Sukhumvit Road, Bangkok || Bangkok Don Muang Airport (DMK) -> Sukhumvit Road, Bangkok || Bangkok Suvarnabhumi Airport (BKK) -> Sukhumvit Road, Bangkok","missing","district_area"
"Tubkaek Beach, Krabi","4","Thailand","Tubkaek Beach, Krabi","to","Krabi International Airport (KBV) -> Tubkaek Beach, Krabi || Krabi International Airport (KBV) -> Tubkaek Beach, Krabi || Phuket International Airport (HKT) -> Tubkaek Beach, Krabi","missing","district_area"
"Al Marjan Island","3","United Arab Emirates","Al Marjan Island","to","Sharjah Airport (SHJ) -> Al Marjan Island || Sharjah Airport (SHJ) -> Al Marjan Island || Sharjah Airport (SHJ) -> Al Marjan Island","missing","island"
