"name","count","countries","cities","roles","samples","etoStatus","category"
"Bangrak Pier","4","Thailand","Bangrak Pier","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Bangrak Pier || Koh Samui - Mae Nam Port (Surat Thani ) -> Bangrak Pier || Samui International Airport (USM) -> Bangrak Pier","missing","port"
"Bilbao Airport (BIO)","4","Spain","Bilbao","from","Bilbao Airport (BIO) -> Bilbao || Bilbao Airport (BIO) -> Bilbao || Bilbao Airport (BIO) -> Bilbao","missing","airport"
"Charleston International Airport (CHS)","4","United States of America","Charleston","from","Charleston International Airport (CHS) -> Charleston || Charleston International Airport (CHS) -> Charleston || Charleston International Airport (CHS) -> Charleston","missing","airport"
"Chiang Mai Train Station","4","Thailand","Chiang Mai|Chiang Mai International Airport (CNX)|Chiang Mai Train Station","from|to","Chiang Mai Train Station -> Chiang Mai || Chiang Mai Train Station -> Chiang Mai || Chiang Mai Train Station -> Chiang Mai International Airport (CNX)","missing","station"
"Copenhagen Cruise Port","4","Denmark","Copenhagen","from","Copenhagen Cruise Port -> Copenhagen || Copenhagen Cruise Port -> Copenhagen || Copenhagen Cruise Port -> Copenhagen","missing","port"
"Gran Canaria Airport (LPA)","4","Spain","Las Palmas de Gran Canaria","from","Gran Canaria Airport (LPA) -> Las Palmas de Gran Canaria || Gran Canaria Airport (LPA) -> Las Palmas de Gran Canaria || Gran Canaria Airport (LPA) -> Las Palmas de Gran Canaria","missing","airport"
"Hamburg Airport (HAM)","4","Germany","Hamburg","from","Hamburg Airport (HAM) -> Hamburg || Hamburg Airport (HAM) -> Hamburg || Hamburg Airport (HAM) -> Hamburg","missing","airport"
"Izhevsk Airport (IJK)","4","Russia","Izhevsk","from","Izhevsk Airport (IJK) -> Izhevsk || Izhevsk Airport (IJK) -> Izhevsk || Izhevsk Airport (IJK) -> Izhevsk","missing","airport"
"Kao Lanta Pier Thailand","4","Thailand","Kao Lanta Pier Thailand","to","Phuket International Airport (HKT) -> Kao Lanta Pier Thailand || Phuket International Airport (HKT) -> Kao Lanta Pier Thailand || Surat Thani Airport (URT) -> Kao Lanta Pier Thailand","missing","port"
"Khabarovsk Novy Airport (KHV)","4","Russia","Khabarovsk","from","Khabarovsk Novy Airport (KHV) -> Khabarovsk || Khabarovsk Novy Airport (KHV) -> Khabarovsk || Khabarovsk Novy Airport (KHV) -> Khabarovsk","missing","airport"
"Kirov Pobedilovo Airport (KVX)","4","Russia","Kirov","from","Kirov Pobedilovo Airport (KVX) -> Kirov || Kirov Pobedilovo Airport (KVX) -> Kirov || Kirov Pobedilovo Airport (KVX) -> Kirov","missing","airport"
"Kiruna Airport (KRN)","4","Sweden","Abisko|Gällivare|Jukkasjärvi|Kiruna","from","Kiruna Airport (KRN) -> Abisko || Kiruna Airport (KRN) -> Gällivare || Kiruna Airport (KRN) -> Jukkasjärvi","missing","airport"
"Klong Jilard Pier, Krabi town","4","Thailand","Klong Jilard Pier, Krabi town","to","Phuket International Airport (HKT) -> Klong Jilard Pier, Krabi town || Phuket International Airport (HKT) -> Klong Jilard Pier, Krabi town || Phuket International Airport (HKT) -> Klong Jilard Pier, Krabi town","missing","port"
"Laem Chabang Port, Sukhumvit Road, Thung Sukhla","4","Thailand","Laem Chabang Port, Sukhumvit Road, Thung Sukhla","to","Bangkok Suvarnabhumi Airport (BKK) -> Laem Chabang Port, Sukhumvit Road, Thung Sukhla || Bangkok Suvarnabhumi Airport (BKK) -> Laem Chabang Port, Sukhumvit Road, Thung Sukhla || Bangkok Suvarnabhumi Airport (BKK) -> Laem Chabang Port, Sukhumvit Road, Thung Sukhla","missing","port"
"Minsk Airport (MSQ)","4","Belarus","Minsk","from","Minsk Airport (MSQ) -> Minsk || Minsk Airport (MSQ) -> Minsk || Minsk Airport (MSQ) -> Minsk","missing","airport"
"New York LaGuardia Airport (LGA)","4","United States of America","New York","from","New York LaGuardia Airport (LGA) -> New York || New York LaGuardia Airport (LGA) -> New York || New York LaGuardia Airport (LGA) -> New York","missing","airport"
"Nice Côte d'Azur Airport (NCE)","4","France","Nice","from","Nice Côte d'Azur Airport (NCE) -> Nice || Nice Côte d'Azur Airport (NCE) -> Nice || Nice Côte d'Azur Airport (NCE) -> Nice","missing","airport"
"Penza Airport (PEZ)","4","Russia","Penza","from","Penza Airport (PEZ) -> Penza || Penza Airport (PEZ) -> Penza || Penza Airport (PEZ) -> Penza","missing","airport"
