"name","count","countries","cities","roles","samples","etoStatus","category"
"Geoje Island","3","South Korea","Geoje Island","to","Busan Gimhae Airport (PUS) -> Geoje Island || Busan Gimhae Airport (PUS) -> Geoje Island || Busan Gimhae Airport (PUS) -> Geoje Island","missing","island"
"Koh Lanta Island","3","Thailand","Koh Lanta Island","to","Krabi International Airport (KBV) -> Koh Lanta Island || Krabi International Airport (KBV) -> Koh Lanta Island || Phuket International Airport (HKT) -> Koh Lanta Island","missing","island"
"Koh Samui (Island)","3","Thailand","Koh Samui (Island)","to","Phuket International Airport (HKT) -> Koh Samui (Island) || Samui International Airport (USM) -> Koh Samui (Island) || Samui International Airport (USM) -> Koh Samui (Island)","missing","island"
"Konyaalti district, Antalya","3","Turkey","Konyaalti district, Antalya","to","Antalya Airport (AYT) -> Konyaalti district, Antalya || Antalya Airport (AYT) -> Konyaalti district, Antalya || Antalya Airport (AYT) -> Konyaalti district, Antalya","missing","district_area"
"Laem Set, Koh Samui, Surat Thani","3","Thailand","Laem Set, Koh Samui, Surat Thani","to","Samui International Airport (USM) -> Laem Set, Koh Samui, Surat Thani || Samui International Airport (USM) -> Laem Set, Koh Samui, Surat Thani || Samui International Airport (USM) -> Laem Set, Koh Samui, Surat Thani","missing","island"
"Lampang District","3","Thailand","Lampang District","to","Chiang Mai International Airport (CNX) -> Lampang District || Chiang Mai International Airport (CNX) -> Lampang District || Chiang Mai International Airport (CNX) -> Lampang District","missing","district_area"
"Lara beach","3","Turkey","Lara beach","to","Antalya Airport (AYT) -> Lara beach || Antalya Airport (AYT) -> Lara beach || Antalya Airport (AYT) -> Lara beach","missing","district_area"
"Mae Rim district","3","Thailand","Mae Rim district","to","Chiang Mai International Airport (CNX) -> Mae Rim district || Chiang Mai International Airport (CNX) -> Mae Rim district || Chiang Mai International Airport (CNX) -> Mae Rim district","missing","district_area"
"Mae-Hongsorn district","3","Thailand","Mae-Hongsorn district","to","Chiang Mai International Airport (CNX) -> Mae-Hongsorn district || Chiang Mai International Airport (CNX) -> Mae-Hongsorn district || Chiang Mai International Airport (CNX) -> Mae-Hongsorn district","missing","district_area"
"Maetang district","3","Thailand","Maetang district","to","Chiang Mai International Airport (CNX) -> Maetang district || Chiang Mai International Airport (CNX) -> Maetang district || Chiang Mai International Airport (CNX) -> Maetang district","missing","district_area"
"Singapore city center","3","Singapore","Singapore city center","to","Singapore Changi Airport (SIN) -> Singapore city center || Singapore Changi Airport (SIN) -> Singapore city center || Singapore Changi Airport (SIN) -> Singapore city center","missing","district_area"
"Singapore Sentosa Island","3","Singapore","Singapore Sentosa Island","to","Singapore Changi Airport (SIN) -> Singapore Sentosa Island || Singapore Changi Airport (SIN) -> Singapore Sentosa Island || Singapore Changi Airport (SIN) -> Singapore Sentosa Island","missing","island"
"Älvsjö district (Alvsjo), Stockholm","2","Sweden","Älvsjö district (Alvsjo), Stockholm","to","Stockholm Arlanda Airport (ARN) -> Älvsjö district (Alvsjo), Stockholm || Stockholm Arlanda Airport (ARN) -> Älvsjö district (Alvsjo), Stockholm","missing","district_area"
"Årsta district, Stockholm","2","Sweden","Årsta district, Stockholm","to","Stockholm Arlanda Airport (ARN) -> Årsta district, Stockholm || Stockholm Arlanda Airport (ARN) -> Årsta district, Stockholm","missing","district_area"
"Baan HuaHin (Koh Lanta) Thailand/ Hua Hin (Lanta) Thailand","2","Thailand","Baan HuaHin (Koh Lanta) Thailand/ Hua Hin (Lanta) Thailand","to","Krabi International Airport (KBV) -> Baan HuaHin (Koh Lanta) Thailand/ Hua Hin (Lanta) Thailand || Krabi International Airport (KBV) -> Baan HuaHin (Koh Lanta) Thailand/ Hua Hin (Lanta) Thailand","missing","island"
