"name","count","countries","cities","roles","samples","etoStatus","category"
"Tashkent International Airport (TAS)","2","Uzbekistan","Tashkent","from","Tashkent International Airport (TAS) -> Tashkent || Tashkent International Airport (TAS) -> Tashkent","missing","airport"
"Thap Lamu Pier, Phang Nga","2","Thailand","Thap Lamu Pier, Phang Nga","to","Phuket International Airport (HKT) -> Thap Lamu Pier, Phang Nga || Phuket International Airport (HKT) -> Thap Lamu Pier, Phang Nga","missing","port"
"Trang Airport (TST), Khok Lo, Mueang Trang District","2","Thailand","Trang Airport (TST), Khok Lo, Mueang Trang District","to","Phuket International Airport (HKT) -> Trang Airport (TST), Khok Lo, Mueang Trang District || Phuket International Airport (HKT) -> Trang Airport (TST), Khok Lo, Mueang Trang District","missing","airport"
"Trang Train Station","2","Thailand","Trang Train Station","to","Phuket International Airport (HKT) -> Trang Train Station || Phuket International Airport (HKT) -> Trang Train Station","missing","station"
"Ufa International Airport (UFA)","2","Russia","Ufa","from","Ufa International Airport (UFA) -> Ufa || Ufa International Airport (UFA) -> Ufa","missing","airport"
"Ulyanovsk Baratayevka Airport (ULV)","2","Russia","Ulyanovsk","from","Ulyanovsk Baratayevka Airport (ULV) -> Ulyanovsk || Ulyanovsk Baratayevka Airport (ULV) -> Ulyanovsk","missing","airport"
"Vienna Schwechat Airport (VIE)","2","Austria","Vienna","from","Vienna Schwechat Airport (VIE) -> Vienna || Vienna Schwechat Airport (VIE) -> Vienna","missing","airport"
"Visby Airport (VBY)","2","Sweden","Visby","from","Visby Airport (VBY) -> Visby || Visby Airport (VBY) -> Visby","missing","airport"
"Vladivostok International Airport (VVO)","2","Russia","Vladivostok","from","Vladivostok International Airport (VVO) -> Vladivostok || Vladivostok International Airport (VVO) -> Vladivostok","missing","airport"
"Abeid Amani Karume International Airport (ZNZ)","1","Tanzania","Zanzibar","from","Abeid Amani Karume International Airport (ZNZ) -> Zanzibar","missing","airport"
"Barnaul Airport (BAX)","1","Russia","Barnaul","from","Barnaul Airport (BAX) -> Barnaul","missing","airport"
"Cape Town International Airport (CPT)","1","South Africa","Cape Town","from","Cape Town International Airport (CPT) -> Cape Town","missing","airport"
"Cherepovets Airport (CEE)","1","Russia","Cherepovets","from","Cherepovets Airport (CEE) -> Cherepovets","missing","airport"
"Denver International Airport (DEN)","1","United States of America","Denver","from","Denver International Airport (DEN) -> Denver","missing","airport"
"Dnipropetrovsk International Airport (DNK)","1","Ukraine","Dnipro","from","Dnipropetrovsk International Airport (DNK) -> Dnipro","missing","airport"
"Havryshivka Vinnytsia International Airport (VIN)","1","Ukraine","Vinnytsia","from","Havryshivka Vinnytsia International Airport (VIN) -> Vinnytsia","missing","airport"
"Kropyvnytskyi Airport (KGO)","1","Ukraine","Kropyvnytskyi","from","Kropyvnytskyi Airport (KGO) -> Kropyvnytskyi","missing","airport"
"Linköping Airport (LPI)","1","Sweden","Linköping","from","Linköping Airport (LPI) -> Linköping","missing","airport"
"Lisbon Airport (LIS)","1","Portugal","Lisbon","from","Lisbon Airport (LIS) -> Lisbon","missing","airport"
"Nicolaev (Mykolaiv) International Airport (NLV)","1","Ukraine","Nikolaev (Mykolaiv)","from","Nicolaev (Mykolaiv) International Airport (NLV) -> Nikolaev (Mykolaiv)","missing","airport"
"Northeast Philadelphia Airport (PNE)","1","United States of America","Philadelphia City Center, USA","from","Northeast Philadelphia Airport (PNE) -> Philadelphia City Center, USA","missing","airport"
"Novosibirsk Tolmachevo Airport (OVB)","1","Russia","Novosibirsk","from","Novosibirsk Tolmachevo Airport (OVB) -> Novosibirsk","missing","airport"
"Örebro airport (ORB)","1","Sweden","Örebro / Orebro","from","Örebro airport (ORB) -> Örebro / Orebro","missing","airport"
"Örnsköldsvik Airport (OER)","1","Sweden","Örnsköldsvik / Ornskoldsvik","from","Örnsköldsvik Airport (OER) -> Örnsköldsvik / Ornskoldsvik","missing","airport"
"Poltava Airport (PLV)","1","Ukraine","Poltava","from","Poltava Airport (PLV) -> Poltava","missing","airport"
"Seychelles International Airport (SEZ)","1","Seychelles","Seychelles","from","Seychelles International Airport (SEZ) -> Seychelles","missing","airport"
"Sheraton Moscow Sheremetyevo Airport","1","Russia","Sheraton Moscow Sheremetyevo Airport","to","Moscow Sheremetyevo International Airport (SVO) -> Sheraton Moscow Sheremetyevo Airport","missing","airport"
"Skellefteå Airport (SFT)","1","Sweden","Skellefteå","from","Skellefteå Airport (SFT) -> Skellefteå","missing","airport"
"Sundsvall Airport (SDL)","1","Sweden","Sundsvall","from","Sundsvall Airport (SDL) -> Sundsvall","missing","airport"
"Toronto Lester B. Pearson Airport (YYZ)","1","Canada","Toronto","from","Toronto Lester B. Pearson Airport (YYZ) -> Toronto","missing","airport"
"Uzhhorod International Airport (UDJ)","1","Ukraine","Uzhhorod","from","Uzhhorod International Airport (UDJ) -> Uzhhorod","missing","airport"
"Varna Airport (VAR)","1","Bulgaria","Burgas","from","Varna Airport (VAR) -> Burgas","missing","airport"
"Zhytomyr International Airport (ZTR)","1","Ukraine","Zhytomyr","from","Zhytomyr International Airport (ZTR) -> Zhytomyr","missing","airport"
