"sourceFile","name","reason","description"
"batch12_cities_top100_after_batch11_safe.kml","Sadao Border (to Malaysia), Songkhla","viewport_20.4646x6.6652","source=Riderra price book; count=2; countries=Thailand; category=city; geometrySource=google-viewport; googleViewport=98.93540,0.85393,119.40000,7.51910; geocode=Malaysia"
"batch12_cities_top100_after_batch11_safe.kml","Songkhla Province","viewport_1.0506x1.6488","source=Riderra price book; count=2; countries=Thailand; category=city; geometrySource=google-viewport; googleViewport=100.05456,6.29012,101.10515,7.93894; geocode=Songkhla, Thailand"
"batch12_cities_top100_after_batch11_safe.kml","Syvasenvaar","viewport_11.4213x10.6164","source=Riderra price book; count=2; countries=Finland; category=city; geometrySource=google-viewport; googleViewport=20.16581,59.47590,31.58710,70.09229; geocode=Finland"
"batch13_cities_next100_after_batch11_safe.kml","Åre / Are","viewport_13.5979x14.0540","source=Riderra price book; count=1; countries=Sweden; category=city; geometrySource=google-viewport; googleViewport=10.57980,55.00598,24.17769,69.05997; geocode=Sweden"
"batch13_cities_next100_after_batch11_safe.kml","Avakas Bay","viewport_2.3586x1.0768","source=Riderra price book; count=1; countries=Cyprus; category=city; geometrySource=google-viewport; googleViewport=32.24590,34.63040,34.60450,35.70720; geocode=Cyprus"
"batch13_cities_next100_after_batch11_safe.kml","Freiburg im Breisgau","viewport_118.9592x40.8565","source=Riderra price book; count=1; countries=France; category=city; geometrySource=google-viewport; googleViewport=-109.29675,10.26768,9.66250,51.12420; geocode=France"
"batch13_cities_next100_after_batch11_safe.kml","FUN&SUN FAMILY Albatros Palace","viewport_12.3601x9.8122","source=Riderra price book; count=1; countries=Egypt; category=city; geometrySource=google-viewport; googleViewport=24.69677,22.00000,37.05690,31.81220; geocode=Egypt"
"batch14_cities_remaining_after_batch11_safe.kml","Managri","viewport_2.3586x1.0768","source=Riderra price book; count=1; countries=Cyprus; category=city; geometrySource=google-viewport; googleViewport=32.24590,34.63040,34.60450,35.70720; geocode=Cyprus"
"batch14_cities_remaining_after_batch11_safe.kml","Orchid","viewport_2.3586x1.0768","source=Riderra price book; count=1; countries=Cyprus; category=city; geometrySource=google-viewport; googleViewport=32.24590,34.63040,34.60450,35.70720; geocode=Cyprus"
"batch14_cities_remaining_after_batch11_safe.kml","Pano Ardes","viewport_2.3586x1.0768","source=Riderra price book; count=1; countries=Cyprus; category=city; geometrySource=google-viewport; googleViewport=32.24590,34.63040,34.60450,35.70720; geocode=Cyprus"
"batch14_cities_remaining_after_batch11_safe.kml","Seychelles","viewport_10.4095x6.7624","source=Riderra price book; count=1; countries=Seychelles; category=city; geometrySource=google-viewport; googleViewport=45.98328,-10.47161,56.39282,-3.70917; geocode=Seychelles"
