"From";"To";"Price";"Lux";"MV 8 pax";"Sprinter";"SUV";"Electric Standard";"Saloon";"Estate";"Executive";"MPV";"MV 6 pax";"MV 7 pax";"Businessvan 5 pax";"Businessvan 6 pax";"Standard Minibus 13pax";"Standard Minibus 9pax";"Minibus 19 pax";"Coach 30 pax";"Coach 45pax"
"Buenos Aires Ministro Pistarini Airport (EZE)";"Buenos Aires";"42";"0";"0";"0";"0";"0";"42";"0";"86";"0";"68";"0";"0";"0";"0";"0";"0";"0";"0"
"Yerevan Zvartnots Airport (EVN)";"Yerevan";"25";"56";"0";"74";"0";"0";"25";"0";"42";"37";"0";"47";"90";"0";"0";"0";"0";"0";"0"
"Vienna Schwechat Airport (VIE)";"Vienna";"50";"0";"0";"0";"0";"0";"50";"0";"0";"0";"70";"0";"0";"0";"0";"0";"0";"0";"0"
"Baku Heydar Aliyev International Airport (GYD)";"Baku";"20";"63";"0";"60";"0";"0";"20";"0";"36";"28";"0";"35";"0";"50";"0";"0";"0";"0";"0"
"Baku Heydar Aliyev International Airport (GYD)";"Naftalan";"200";"0";"0";"0";"0";"0";"200";"0";"250";"0";"0";"250";"0";"0";"0";"0";"0";"0";"0"
"Baku Heydar Aliyev International Airport (GYD)";"Shahdag (Quba, Qusar)";"150";"0";"0";"0";"0";"0";"150";"0";"180";"0";"0";"180";"0";"0";"0";"0";"0";"0";"0"
"Baku Heydar Aliyev International Airport (GYD)";"Tufandag (Gabala)";"170";"0";"0";"0";"0";"0";"170";"0";"200";"0";"0";"200";"0";"0";"0";"0";"0";"0";"0"
"Minsk Airport (MSQ)";"Minsk";"45";"150";"0";"0";"0";"0";"45";"0";"58";"0";"0";"82";"0";"0";"0";"0";"0";"0";"0"
"Varna Airport (VAR)";"Burgas";"130";"0";"0";"0";"0";"0";"130";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Toronto Lester B. Pearson Airport (YYZ)";"Toronto";"48";"0";"0";"0";"0";"0";"48";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Vancouver Airport (YVR)";"Kelowna";"696";"0";"0";"0";"0";"696";"696";"0";"0";"0";"835";"0";"0";"0";"0";"0";"0";"0";"0"
"Vancouver Airport (YVR)";"Tofino";"572";"0";"0";"0";"0";"572";"572";"0";"0";"0";"686";"0";"0";"0";"0";"0";"0";"0";"0"
"Vancouver Airport (YVR)";"Vancouver";"36";"0";"0";"0";"40";"0";"36";"0";"0";"45";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Vancouver Airport (YVR)";"Victoria";"356";"0";"0";"0";"0";"356";"356";"0";"0";"0";"428";"0";"0";"0";"0";"0";"0";"0";"0"
"Vancouver Airport (YVR)";"Whistler";"232";"0";"0";"0";"0";"232";"232";"0";"0";"0";"279";"0";"0";"0";"0";"0";"0";"0";"0"
"Beijing Capital International Airport (PEK)";"Beijing city center";"49";"209";"0";"144";"0";"0";"49";"0";"63";"0";"70";"0";"0";"102";"0";"0";"0";"0";"0"
"Beijing Daxing International Airport (PKX)";"Beijing city center";"67";"0";"0";"146";"0";"0";"67";"0";"0";"0";"89";"0";"0";"0";"0";"0";"0";"0";"0"
"Guangzhou Baiyun International Airport (CAN)";"GuangZhou city center";"54";"0";"0";"267";"0";"0";"54";"0";"65";"0";"64";"0";"0";"101";"0";"0";"0";"0";"0"
"Hong Kong Airport (HKG)";"Central and Western";"0";"0";"0";"0";"0";"0";"0";"0";"96";"0";"114";"0";"0";"0";"0";"0";"0";"0";"0"
"Hong Kong Airport (HKG)";"Estern district Hong Kong";"0";"0";"0";"0";"0";"0";"0";"0";"96";"0";"114";"0";"0";"0";"0";"0";"0";"0";"0"
"Hong Kong Airport (HKG)";"Tai Po";"91";"0";"0";"0";"0";"0";"91";"0";"96";"0";"114";"0";"0";"130";"0";"0";"0";"0";"0"
"Hong Kong Airport (HKG)";"Tuen Mun";"91";"0";"0";"0";"0";"0";"91";"0";"96";"0";"114";"0";"0";"130";"0";"0";"0";"0";"0"
"Hong Kong Airport (HKG)";"Wan Chai district, Hong Kong";"0";"0";"0";"0";"0";"0";"0";"0";"96";"0";"114";"0";"0";"0";"0";"0";"0";"0";"0"
"Hong Kong Airport (HKG)";"Wong Tai Sin";"66";"0";"0";"0";"0";"0";"66";"0";"68";"0";"70";"0";"0";"82";"0";"0";"0";"0";"0"
"Hong Kong Airport (HKG)";"Yuen Long";"91";"0";"0";"0";"0";"0";"91";"0";"96";"0";"114";"0";"0";"130";"0";"0";"0";"0";"0"
"Shanghai Hongqiao International Airport (SHA)";"Shanghai city center";"38";"0";"0";"0";"0";"0";"38";"0";"60";"0";"45";"0";"0";"98";"0";"0";"0";"0";"0"
"Shanghai Pudong International Airport (PVG)";"Shanghai city center";"49";"209";"0";"144";"0";"0";"49";"0";"93";"0";"64";"0";"0";"117";"0";"0";"0";"0";"0"
"Shenzhen Bao'an International Airport (SZX)";"Shenzhen city center";"45";"0";"0";"0";"0";"0";"45";"0";"55";"0";"69";"0";"0";"80";"0";"0";"0";"0";"0"
