"country","city","routeFrom","routeTo","vehicleType","fixedPrice","currency","source","notes","reason"
"Cyprus","Orchid","Larnaca Airport (LCA)","Orchid","Standard class car","72","EUR","base_price_xlsx","pax:3","excluded_from_place_list"
"Egypt","FUN&SUN FAMILY Albatros Palace","Sharm el-Sheikh International Airport (SSH)","FUN&SUN FAMILY Albatros Palace","Standard minivan 8 pax","21","EUR","base_price_xlsx","pax:8","excluded_from_place_list"
"Egypt","Grand Rotana Resort","Sharm el-Sheikh International Airport (SSH)","Grand Rotana Resort","Business class car","80","EUR","base_price_xlsx","pax:3","excluded_from_place_list"
"Egypt","Grand Rotana Resort","Sharm el-Sheikh International Airport (SSH)","Grand Rotana Resort","Standard e-vehicle 3 pax","80","EUR","base_price_xlsx","pax:3","excluded_from_place_list"
"Norway","Hafjell (ski resort)","Oslo Gardermoen Airport (OSL)","Hafjell (ski resort)","Standard class car","455","EUR","base_price_xlsx","pax:3","excluded_from_place_list"
"Seychelles","Seychelles","Seychelles International Airport (SEZ)","Seychelles","Standard MPV","24","EUR","base_price_xlsx","pax:5","excluded_from_place_list"
"Thailand","Aleenta Phuket Phang Nga + NaTai","Phuket International Airport (HKT)","Aleenta Phuket Phang Nga + NaTai","Business class car","88","EUR","base_price_xlsx","pax:3","excluded_from_place_list"
"Thailand","Aleenta Phuket Phang Nga + NaTai","Phuket International Airport (HKT)","Aleenta Phuket Phang Nga + NaTai","First class car","159","EUR","base_price_xlsx","pax:3","excluded_from_place_list"
"Thailand","Aleenta Phuket Phang Nga + NaTai","Phuket International Airport (HKT)","Aleenta Phuket Phang Nga + NaTai","Standard class car","35","EUR","base_price_xlsx","pax:3","excluded_from_place_list"
"Thailand","Aleenta Phuket Phang Nga + NaTai","Phuket International Airport (HKT)","Aleenta Phuket Phang Nga + NaTai","Standard minivan 8 pax","52","EUR","base_price_xlsx","pax:8","excluded_from_place_list"
"Thailand","Anantara Bophut Koh Samui Resort","Samui International Airport (USM)","Anantara Bophut Koh Samui Resort","Standard class car","20","EUR","base_price_xlsx","pax:3","excluded_from_place_list"
"Thailand","Conrad Hotel Samui","Koh Samui - Mae Nam Port (Surat Thani )","Conrad Hotel Samui","Standard class car","35","EUR","base_price_xlsx","pax:3","excluded_from_place_list"
"Thailand","Conrad Hotel Samui","Koh Samui - Mae Nam Port (Surat Thani )","Conrad Hotel Samui","Standard minivan 7 pax","58","EUR","base_price_xlsx","pax:7","excluded_from_place_list"
"Thailand","Conrad Hotel Samui","Samui International Airport (USM)","Conrad Hotel Samui","Business class car","118","EUR","base_price_xlsx","pax:3","excluded_from_place_list"
"Thailand","Conrad Hotel Samui","Samui International Airport (USM)","Conrad Hotel Samui","Businessvan 6 pax","109","EUR","base_price_xlsx","pax:6","excluded_from_place_list"
"Thailand","Conrad Hotel Samui","Samui International Airport (USM)","Conrad Hotel Samui","Standard Minibus 9pax","65","EUR","base_price_xlsx","pax:9","excluded_from_place_list"
"Thailand","Conrad Hotel Samui","Samui International Airport (USM)","Conrad Hotel Samui","Standard class car","45","EUR","base_price_xlsx","pax:3","excluded_from_place_list"
"Thailand","Conrad Hotel Samui","Samui International Airport (USM)","Conrad Hotel Samui","Standard minivan 6 pax","59","EUR","base_price_xlsx","pax:6","excluded_from_place_list"
"Thailand","Element Boutique","Koh Samui - Mae Nam Port (Surat Thani )","Element Boutique","Standard class car","35","EUR","base_price_xlsx","pax:3","excluded_from_place_list"
"Thailand","Element Boutique","Koh Samui - Mae Nam Port (Surat Thani )","Element Boutique","Standard minivan 7 pax","58","EUR","base_price_xlsx","pax:7","excluded_from_place_list"
"Thailand","Element Boutique","Samui International Airport (USM)","Element Boutique","Business class car","118","EUR","base_price_xlsx","pax:3","excluded_from_place_list"
"Thailand","Element Boutique","Samui International Airport (USM)","Element Boutique","Businessvan 6 pax","109","EUR","base_price_xlsx","pax:6","excluded_from_place_list"
"Thailand","Element Boutique","Samui International Airport (USM)","Element Boutique","Standard Minibus 9pax","65","EUR","base_price_xlsx","pax:9","excluded_from_place_list"
"Thailand","Element Boutique","Samui International Airport (USM)","Element Boutique","Standard class car","45","EUR","base_price_xlsx","pax:3","excluded_from_place_list"
"Thailand","Element Boutique","Samui International Airport (USM)","Element Boutique","Standard minivan 6 pax","59","EUR","base_price_xlsx","pax:6","excluded_from_place_list"
"Thailand","Emerald Lake Hotel Thailand","Krabi International Airport (KBV)","Emerald Lake Hotel Thailand","Standard Minibus 9pax","131","EUR","base_price_xlsx","pax:9","excluded_from_place_list"
"Thailand","Emerald Lake Hotel Thailand","Krabi International Airport (KBV)","Emerald Lake Hotel Thailand","Standard class car","131","EUR","base_price_xlsx","pax:3","excluded_from_place_list"
"Thailand","Hot Waterfall Hotel/ Hot Stream Krabi Thailand","Krabi International Airport (KBV)","Hot Waterfall Hotel/ Hot Stream Krabi Thailand","Standard Minibus 9pax","131","EUR","base_price_xlsx","pax:9","excluded_from_place_list"
"Thailand","Hot Waterfall Hotel/ Hot Stream Krabi Thailand","Krabi International Airport (KBV)","Hot Waterfall Hotel/ Hot Stream Krabi Thailand","Standard class car","131","EUR","base_price_xlsx","pax:3","excluded_from_place_list"
"Thailand","Phuket Island to delete","Krabi International Airport (KBV)","Phuket Island to delete","Standard class car","96","EUR","base_price_xlsx","pax:3","excluded_from_place_list"
"Thailand","Phuket Island to delete","Krabi International Airport (KBV)","Phuket Island to delete","Standard minivan 8 pax","115","EUR","base_price_xlsx","pax:8","excluded_from_place_list"
"Thailand","Phuket Island to delete","Phuket International Airport (HKT)","Phuket Island to delete","Standard class car","25","EUR","base_price_xlsx","pax:3","excluded_from_place_list"
"Thailand","Phuket Island to delete","Phuket International Airport (HKT)","Phuket Island to delete","Standard minivan 8 pax","35","EUR","base_price_xlsx","pax:8","excluded_from_place_list"
"Thailand","Phuket Island to delete","Surat Thani Airport (URT)","Phuket Island to delete","Standard class car","155","EUR","base_price_xlsx","pax:3","excluded_from_place_list"
"Thailand","Phuket Island to delete","Surat Thani Airport (URT)","Phuket Island to delete","Standard minivan 8 pax","175","EUR","base_price_xlsx","pax:8","excluded_from_place_list"
"Thailand","Phuket Island to delete","Trang Airport (TST)","Phuket Island to delete","Standard class car","165","EUR","base_price_xlsx","pax:3","excluded_from_place_list"
"Thailand","Phuket Island to delete","Trang Airport (TST)","Phuket Island to delete","Standard minivan 8 pax","185","EUR","base_price_xlsx","pax:8","excluded_from_place_list"
"Turkey","Istanbul","Istanbul","Disposal up to 8 hours / 100 km within Istanbul","Standard Minibus 13pax","326","EUR","manual","source=manual:transferofis-istanbul-sales-eur-2026-05-06
netSource=manual:transferofis-istanbul-usd-price-list
net=293.45 USD
fxUsdEur=0.8535
markup=30%
supplier=Transferofis
manager=Murat Ozbek
driverRouteId=cmotnwzg10033fx0hsg0vsdyd
sourceChannel=whatsapp; priceListReceivedAt=2026-05-05; sender=Murat Ozbek; supplier=Transferofis","excluded_from_place_list"
"Turkey","Istanbul","Istanbul","Disposal up to 8 hours / 100 km within Istanbul","Standard minivan 6 pax","270","EUR","manual","source=manual:transferofis-istanbul-sales-eur-2026-05-06
netSource=manual:transferofis-istanbul-usd-price-list
net=242.86 USD
fxUsdEur=0.8535
markup=30%
supplier=Transferofis
manager=Murat Ozbek
driverRouteId=cmotnwzfz0031fx0hzo9w4o21
sourceChannel=whatsapp; priceListReceivedAt=2026-05-05; sender=Murat Ozbek; supplier=Transferofis","excluded_from_place_list"
"Turkey","Istanbul","Istanbul","Full day disposal up to 12 hours / 120 km classic Istanbul tour","Standard Minibus 13pax","384","EUR","manual","source=manual:transferofis-istanbul-sales-eur-2026-05-06
netSource=manual:transferofis-istanbul-usd-price-list
net=345.24 USD
fxUsdEur=0.8535
markup=30%
supplier=Transferofis
manager=Murat Ozbek
driverRouteId=cmotnwzg50037fx0ht0cak0rj
sourceChannel=whatsapp; priceListReceivedAt=2026-05-05; sender=Murat Ozbek; supplier=Transferofis","excluded_from_place_list"
"Turkey","Istanbul","Istanbul","Full day disposal up to 12 hours / 120 km classic Istanbul tour","Standard minivan 6 pax","286","EUR","manual","source=manual:transferofis-istanbul-sales-eur-2026-05-06
netSource=manual:transferofis-istanbul-usd-price-list
net=257.14 USD
fxUsdEur=0.8535
markup=30%
supplier=Transferofis
manager=Murat Ozbek
driverRouteId=cmotnwzg30035fx0hix9f3wmb
sourceChannel=whatsapp; priceListReceivedAt=2026-05-05; sender=Murat Ozbek; supplier=Transferofis","excluded_from_place_list"
"United Arab Emirates","Bab Al Shams Desert Resor, Dubai","Dubai international Airport (DXB)","Bab Al Shams Desert Resor, Dubai","Business class car","178","EUR","base_price_xlsx","pax:3","excluded_from_place_list"
