"name","count","countries","cities","roles","samples","etoStatus","category"
"Palm Jumeirah","10","United Arab Emirates","Palm Jumeirah","to","Dubai international Airport (DXB) -> Palm Jumeirah || Dubai international Airport (DXB) -> Palm Jumeirah || Dubai international Airport (DXB) -> Palm Jumeirah","missing","city"
"Pyungtaek","10","South Korea","Pyungtaek","to","Seoul Gimpo Airport (GMP) -> Pyungtaek || Seoul Gimpo Airport (GMP) -> Pyungtaek || Seoul Gimpo Airport (GMP) -> Pyungtaek","missing","city"
"Rome","10","Italy","Rome","to","Rome Fiumicino Airport (FCO) -> Rome || Rome Fiumicino Airport (FCO) -> Rome || Rome Fiumicino Airport (FCO) -> Rome","missing","city"
"Sakhu, Phuket","10","Thailand","Sakhu, Phuket","to","Krabi International Airport (KBV) -> Sakhu, Phuket || Krabi International Airport (KBV) -> Sakhu, Phuket || Phuket International Airport (HKT) -> Sakhu, Phuket","missing","city"
"Siheung","10","South Korea","Siheung","to","Seoul Gimpo Airport (GMP) -> Siheung || Seoul Gimpo Airport (GMP) -> Siheung || Seoul Gimpo Airport (GMP) -> Siheung","missing","city"
"Suwon","10","South Korea","Suwon","to","Seoul Gimpo Airport (GMP) -> Suwon || Seoul Gimpo Airport (GMP) -> Suwon || Seoul Gimpo Airport (GMP) -> Suwon","missing","city"
"Uijeongbu","10","South Korea","Uijeongbu","to","Seoul Gimpo Airport (GMP) -> Uijeongbu || Seoul Gimpo Airport (GMP) -> Uijeongbu || Seoul Gimpo Airport (GMP) -> Uijeongbu","missing","city"
"Wichit, Mueang, Phuket","10","Thailand","Wichit, Mueang, Phuket","to","Krabi International Airport (KBV) -> Wichit, Mueang, Phuket || Krabi International Airport (KBV) -> Wichit, Mueang, Phuket || Phuket International Airport (HKT) -> Wichit, Mueang, Phuket","missing","city"
"Yangju","10","South Korea","Yangju","to","Seoul Gimpo Airport (GMP) -> Yangju || Seoul Gimpo Airport (GMP) -> Yangju || Seoul Gimpo Airport (GMP) -> Yangju","missing","city"
"Gunpo","9","South Korea","Gunpo","to","Seoul Gimpo Airport (GMP) -> Gunpo || Seoul Gimpo Airport (GMP) -> Gunpo || Seoul Gimpo Airport (GMP) -> Gunpo","missing","city"
"Kamakura","9","Japan","Kamakura","to","Tokyo (within 23 wards) -> Kamakura || Tokyo (within 23 wards) -> Kamakura || Tokyo (within 23 wards) -> Kamakura","missing","city"
"Karuizawa","9","Japan","Karuizawa","to","Tokyo (within 23 wards) -> Karuizawa || Tokyo (within 23 wards) -> Karuizawa || Tokyo (within 23 wards) -> Karuizawa","missing","city"
"Mount Fuji, Hakone","9","Japan","Mount Fuji, Hakone","to","Tokyo (within 23 wards) -> Mount Fuji, Hakone || Tokyo (within 23 wards) -> Mount Fuji, Hakone || Tokyo (within 23 wards) -> Mount Fuji, Hakone","missing","city"
"Pattaya","9","Thailand","Pattaya","to","Bangkok Don Muang Airport (DMK) -> Pattaya || Bangkok Don Muang Airport (DMK) -> Pattaya || Bangkok Don Muang Airport (DMK) -> Pattaya","missing","city"
"Seoul city","9","South Korea","Seoul city","to","Seoul Gimpo Airport (GMP) -> Seoul city || Seoul Gimpo Airport (GMP) -> Seoul city || Seoul Gimpo Airport (GMP) -> Seoul city","missing","city"
"Al Quoz, Dubai","8","United Arab Emirates","Al Quoz, Dubai","to","Dubai international Airport (DXB) -> Al Quoz, Dubai || Dubai international Airport (DXB) -> Al Quoz, Dubai || Dubai international Airport (DXB) -> Al Quoz, Dubai","missing","city"
"Amman","8","Jordan","Amman","to","Amman Civil Airport (Marka) (ADJ) -> Amman || Amman Civil Airport (Marka) (ADJ) -> Amman || Amman Civil Airport (Marka) (ADJ) -> Amman","missing","city"
"Bab Al Shams Desert Resor, Dubai","8","United Arab Emirates","Bab Al Shams Desert Resor, Dubai","to","Dubai international Airport (DXB) -> Bab Al Shams Desert Resor, Dubai || Dubai international Airport (DXB) -> Bab Al Shams Desert Resor, Dubai || Dubai international Airport (DXB) -> Bab Al Shams Desert Resor, Dubai","missing","hotel_resort"
"Copenhagen","8","Denmark|Sweden","Copenhagen","to","Copenhagen Cruise Port -> Copenhagen || Copenhagen Cruise Port -> Copenhagen || Copenhagen Cruise Port -> Copenhagen","missing","city"
"Dubai Parks and Resorts","8","United Arab Emirates","Dubai Parks and Resorts","to","Dubai international Airport (DXB) -> Dubai Parks and Resorts || Dubai international Airport (DXB) -> Dubai Parks and Resorts || Dubai international Airport (DXB) -> Dubai Parks and Resorts","missing","city"
