"country","from","to","vehicleType","etoColumn","existing","candidate","source","notes"
"Finland","Helsinki Vantaa airport (HEL)","Porvoo","Standard class car","Saloon","70","90","base_price_xlsx","pax:3"
"Japan","Tokyo (within 23 wards)","Tokyo Narita Airport (NRT)","Standard minivan 7 pax","MV 7 pax","340","195","base_price_xlsx","pax:7"
"Jordan","Amman Queen Alia Airport (AMM)","Amman","Standard class car","Saloon","54","60","base_price_xlsx","pax:3"
"Jordan","Amman Queen Alia Airport (AMM)","Amman","Standard class car","Saloon","60","54","base_price_xlsx","pax:3"
"Russia","Gelendzhik Airport (GDZ)","Gelendzhik","Standard class car","Saloon","42","29","base_price_xlsx","pax:3"
"Russia","Ivanovo Yuzhny Airport (IWA)","Ivanovo","Standard class car","Saloon","49","29","base_price_xlsx","pax:3"
"Russia","Mineralnye Vody airport (MRV)","Kislovodsk","Standard class car","Saloon","42","67","base_price_xlsx","pax:3"
"Russia","Kostroma Airport (KMW)","Kostroma","Standard class car","Saloon","29","42","base_price_xlsx","pax:3"
"Russia","Krasnodar International Airport (KRR)","Krasnodar","Standard class car","Saloon","42","31","base_price_xlsx","pax:3"
"Russia","Krasnoyarsk Yemelyanovo Airport (KJA)","Krasnoyarsk","Standard class car","Saloon","61","42","base_price_xlsx","pax:3"
"Russia","Begishevo Airport (NBC)","Naberezhnye Chelny","Standard class car","Saloon","39","52","base_price_xlsx","pax:3"
"Russia","Elabuga Begishevo Airport (NBC)","Naberezhnye Chelny","Standard class car","Saloon","32","64","base_price_xlsx","pax:3"
"Russia","Elabuga Begishevo Airport (NBC)","Nizhnekamsk","Standard class car","Saloon","51","32","base_price_xlsx","pax:3"
"Russia","Novokuznetsk Airport (NOZ)","Novokuznetsk","Standard class car","Saloon","32","49","base_price_xlsx","pax:3"
"Russia","Omsk Tsentralny Airport (OMS)","Omsk","Standard class car","Saloon","44","29","base_price_xlsx","pax:3"
"Russia","Penza Airport (PEZ)","Penza","Standard class car","Saloon","47","26","base_price_xlsx","pax:3"
"Russia","Perm International Airport (PEE)","Perm","Standard class car","Saloon","31","42","base_price_xlsx","pax:3"
"Russia","Rostov-on-Don Platov Airport (ROV)","Rostov-on-Don","Standard class car","Saloon","51","76","base_price_xlsx","pax:3"
"Russia","Samara Kurumoch International Airport (KUF)","Samara","Standard class car","Saloon","59","37","base_price_xlsx","pax:3"
"Russia","Surgut International Airport (SGC)","Surgut","Standard class car","Saloon","31","46","base_price_xlsx","pax:3"
"Russia","Samara Kurumoch International Airport (KUF)","Tolyatti","Standard class car","Saloon","49","67","base_price_xlsx","pax:3"
"Russia","Baikal International Airport (UUD)","Ulan-Ude","Standard class car","Saloon","46","29","base_price_xlsx","pax:3"
"Russia","Ulyanovsk Vostochny Airport (ULY)","Ulyanovsk","Standard class car","Saloon","47","32","base_price_xlsx","pax:3"
"Russia","Volgograd International Airport (VOG)","Volgograd","Standard class car","Saloon","59","32","base_price_xlsx","pax:3"
"Russia","Vologda Airport (VGD)","Vologda","Standard class car","Saloon","30","51","base_price_xlsx","pax:3"
"Thailand","Phuket International Airport (HKT)","Mueang Phuket District","Standard class car","Saloon","32","25","base_price_xlsx","pax:3"
"Thailand","Phuket International Airport (HKT)","PaTong, Phuket","Standard class car","Saloon","25","26","base_price_xlsx","pax:3"
"Thailand","Phuket International Airport (HKT)","PaTong, Phuket","Standard class car","Saloon","26","25","base_price_xlsx","pax:3"
"Thailand","Phuket International Airport (HKT)","PaTong, Phuket","Standard minivan 8 pax","MV 8 pax","30","35","base_price_xlsx","pax:8"
"United Kingdom","London Heathrow Airport (LHR)","Brighton","Standard minivan","MPV","117","133","base_price_xlsx","pax:7"
"United Kingdom","London City Airport (LCY)","London East","Standard minivan","MPV","48","91","base_price_xlsx","pax:7"
"United Kingdom","London Gatwick Airport (LGW)","London East","Standard minivan","MPV","109","171","base_price_xlsx","pax:7"
"United Kingdom","London Heathrow Airport (LHR)","London East","Standard minivan","MPV","110","125","base_price_xlsx","pax:7"
"United Kingdom","London Heathrow Airport (LHR)","London Gatwick Airport (LGW)","Standard minivan","MPV","89","122","base_price_xlsx","pax:7"
"United Kingdom","London City Airport (LCY)","London North","Standard minivan","MPV","68","99","base_price_xlsx","pax:7"
"United Kingdom","London Gatwick Airport (LGW)","London North","Standard minivan","MPV","115","187","base_price_xlsx","pax:7"
"United Kingdom","London Heathrow Airport (LHR)","London North","Standard minivan","MPV","82","111","base_price_xlsx","pax:7"
"United Kingdom","London City Airport (LCY)","London North-West","Standard minivan","MPV","96","125","base_price_xlsx","pax:7"
"United Kingdom","London Gatwick Airport (LGW)","London North-West","Standard minivan","MPV","109","173","base_price_xlsx","pax:7"
"United Kingdom","London Heathrow Airport (LHR)","London North-West","Standard minivan","MPV","78","107","base_price_xlsx","pax:7"
"United Kingdom","London City Airport (LCY)","London South-East","Standard minivan","MPV","48","91","base_price_xlsx","pax:7"
"United Kingdom","London Gatwick Airport (LGW)","London South-East","Standard minivan","MPV","110","169","base_price_xlsx","pax:7"
"United Kingdom","London Heathrow Airport (LHR)","London South-East","Standard minivan","MPV","82","110","base_price_xlsx","pax:7"
"United Kingdom","London City Airport (LCY)","London South-West","Standard minivan","MPV","76","103","base_price_xlsx","pax:7"
"United Kingdom","London Gatwick Airport (LGW)","London South-West","Standard minivan","MPV","92","121","base_price_xlsx","pax:7"
"United Kingdom","London Heathrow Airport (LHR)","London South-West","Standard minivan","MPV","78","107","base_price_xlsx","pax:7"
"United Kingdom","London City Airport (LCY)","London West","Standard minivan","MPV","92","121","base_price_xlsx","pax:7"
"United Kingdom","London Gatwick Airport (LGW)","London West","Standard minivan","MPV","110","167","base_price_xlsx","pax:7"
"United Kingdom","London Heathrow Airport (LHR)","London West","Standard minivan","MPV","72","107","base_price_xlsx","pax:7"
"United Kingdom","London Heathrow Airport (LHR)","Portsmouth","Standard minivan","MPV","122","139","base_price_xlsx","pax:7"
"United Kingdom","London Heathrow Airport (LHR)","Reading","Standard minivan","MPV","84","113","base_price_xlsx","pax:7"
"United Kingdom","London Heathrow Airport (LHR)","Southhampton","Standard minivan","MPV","117","133","base_price_xlsx","pax:7"
"United States of America","New York John F. Kennedy Airport (JFK)","New York","Lux SUV","Lux","180","240","base_price_xlsx","pax:5"
"United States of America","New York John F. Kennedy Airport (JFK)","New York","Lux SUV","Lux","240","216","base_price_xlsx","pax:5"
