"name","count","countries","cities","roles","samples","etoStatus"
"6 of October","2","Egypt","6 of October","to","Cairo International Airport (CAI) -> 6 of October || Cairo International Airport (CAI) -> 6 of October","present_exact"
"Aarhus","2","Denmark","Aarhus","to","Aarhus airport (AAR) -> Aarhus || Aarhus airport (AAR) -> Aarhus","present_exact"
"Aarhus Airport (AAR)","3","Denmark","Aarhus","from","Aarhus Airport (AAR) -> Aarhus outside city center || Aarhus airport (AAR) -> Aarhus || Aarhus airport (AAR) -> Aarhus","present_exact"
"Aarhus city","1","Denmark","Aarhus","to","Billund Airport (BLL) -> Aarhus city","present_exact"
"Aarhus outside city center","1","Denmark","Aarhus","to","Aarhus Airport (AAR) -> Aarhus outside city center","present_exact"
"Abeid Amani Karume International Airport (ZNZ)","1","Tanzania","Zanzibar","from","Abeid Amani Karume International Airport (ZNZ) -> Zanzibar","present_exact"
"Abisko","1","Sweden","Abisko","to","Kiruna Airport (KRN) -> Abisko","present_exact"
"Abu Dhabi","6","United Arab Emirates","Abu Dhabi","to","Abu Dhabi International Airport (AUH) -> Abu Dhabi || Abu Dhabi International Airport (AUH) -> Abu Dhabi || Abu Dhabi International Airport (AUH) -> Abu Dhabi","present_exact"
"Abu Dhabi International Airport (AUH)","35","United Arab Emirates","Abu Dhabi|Abu Dhabi International Airport (AUH)|Ajman|Al Ain|Al Ruwais|Al Sila|Downtown Dubai|Dubai international Airport (DXB)|Fujairah|Ras Al Khaimah|Sharjah|Umm Al Quwain","from|to","Abu Dhabi International Airport (AUH) -> Abu Dhabi || Abu Dhabi International Airport (AUH) -> Abu Dhabi || Abu Dhabi International Airport (AUH) -> Abu Dhabi","present_exact"
"Adelboden","5","Switzerland","Adelboden","to","Zurich Airport (ZRH) -> Adelboden || Zurich Airport (ZRH) -> Adelboden || Zurich Airport (ZRH) -> Adelboden","present_exact"
"Adolfo Suárez Madrid–Barajas Airport (MAD)","5","Spain","Madrid","from","Adolfo Suárez Madrid–Barajas Airport (MAD) -> Madrid || Adolfo Suárez Madrid–Barajas Airport (MAD) -> Madrid || Adolfo Suárez Madrid–Barajas Airport (MAD) -> Madrid","present_exact"
"Adrasan","4","Turkey","Adrasan","to","Antalya Airport (AYT) -> Adrasan || Antalya Airport (AYT) -> Adrasan || Antalya Airport (AYT) -> Adrasan","present_exact"
"Agios Mamas","1","Cyprus","Agios Mamas","to","Larnaca Airport (LCA) -> Agios Mamas","present_exact"
"Agraka","1","Cyprus","Agraka","to","Larnaca Airport (LCA) -> Agraka","present_exact"
"Agros","1","Cyprus","Agros","to","Larnaca Airport (LCA) -> Agros","present_exact"
"Ajloun","6","Jordan","Ajloun","to","Amman Civil Airport (Marka) (ADJ) -> Ajloun || Amman Civil Airport (Marka) (ADJ) -> Ajloun || Amman Civil Airport (Marka) (ADJ) -> Ajloun","present_exact"
