"name","reason"
"Bab Al Shams Desert Resor, Dubai","not_needed_hotel_resort"
"Phuket Island to delete","not_needed_delete_marker"
"Conrad Hotel Samui","not_needed_hotel_resort"
"Element Boutique","not_needed_hotel_resort"
"Aleenta Phuket Phang Nga + NaTai","not_needed_hotel_resort"
"San Diego (0-19 miles)","not_needed_distance_band"
"San Diego (20-39 miles)","not_needed_distance_band"
"San Diego (40-59 miles)","not_needed_distance_band"
"Disposal up to 8 hours / 100 km within Istanbul","not_needed_disposal_service"
"Emerald Lake Hotel Thailand","not_needed_hotel_resort"
"Full day disposal up to 12 hours / 120 km classic Istanbul tour","not_needed_disposal_service"
"Grand Rotana Resort","not_needed_hotel_resort"
"Hot Waterfall Hotel/ Hot Stream Krabi Thailand","not_needed_hotel_resort"
"Anantara Bophut Koh Samui Resort","not_needed_hotel_resort"
"FUN&SUN FAMILY Albatros Palace","not_needed_suspicious_local_place"
"Hafjell (ski resort)","not_needed_resort"
"Orchid","not_needed_suspicious_local_place"
"Seychelles","not_needed_country_level_route"
