"id","Name"
"1","Los Angeles airport (LAX)"
"2","Anaheim"
"5","Copenhagen airport (CPH)"
"6","Helsinki-Vantaa Airport (HEL)"
"7","Riga International Airport (RIX)"
"8","Riga"
"9","Vilnius"
"10","Vilnius International Airport (VNO)"
"11","Helsinki"
"12","Vantaa"
"13","Long Beach, California"
"14","Long Beach Airport (LGB)"
"15","Santa Monica Airport (SMO)"
"16","Los Angeles Downtown"
"17","Malibu"
"18","Hollywood, California"
"19","Glendale"
"20","Bob Hope Airport (BUR)"
"21","Montebello"
"22","Pasadena"
"23","Diamond Bar, California"
"24","Los Angeles Van Nuys Airport (VNY)"
"25","Universal City"
"26","John Wayne Airport (SNA)"
"27","Santa Clarita"
"28","San Diego International Airport (SAN)"
"29","San Diego"
"30","Vancouver International Airport (YVR)"
"31","Vancouver"
"32","Richmond"
"33","Lohja"
"34","Tbilisi"
"35","Tbilisi International Airport (TBS)"
"37","Stockholm Arlanda airport (ARN)"
"38","Brown Field Municipal Airport (SDM)"
"39","San Francisco"
"40","San Francisco Airport (SFO)"
"41","Las Vegas"
"42","Las Vegas McCarran Airport (LAS)"
"43","Spring Valley, NV"
"44","North Las Vegas Airport (VGT)"
"45","St. George Regional Airport (SGU)"
"46","Phoenix Deer Valley Airport (DVT)"
"47","Phoenix Deer Valley Airport (DVT)"
"48","Phoenix Sky Harbor Airport (PHX)"
"49","Whistler"
"50","Kelowna International Airport (YLW)"
"51","Kelowna"
"52","Tofino"
"53","Victoria"
"54","Boeing Field / Seattle King County Airport (BFI)"
"55","Seattle Tacoma Airport (SEA)"
"56","Kenmore Air Harbor / Seattle Lake Union Seaplane Base (LKE)"
"57","Seattle"
"58","Regina International Airport (YQR)"
"59","Regina"
"60","Bozeman Yellowstone International Airport (BZN)"
"61","Minneapolis–Saint Paul International Airport (MSP)"
"62","London City Airport (LCY)"
"63","London Biggin Hill Airport (BQH)"
"64","London Gatwick Airport (LGW)"
"65","London Heathrow Airport (LHR)"
"66","London"
"67","London Luton Airport (LTN)"
"68","London Stansted Airport (STN)"
"69","Edinburgh"
"70","Edinburgh Airport (EDI)"
"71","Espoo"
"72","Batumi"
"73","Batumi International Airport (BUS)"
"74","Järvenpää"
"75","Kerava"
"76","Klaukkala"
"77","Helsinki Malmi Airport (HEM)"
"78","Porvoo"
"79","Kotka"
"80","Tampere"
"81","Tampere-Pirkkala Airport (TMP)"
"82","Turku"
"83","Turku Airport (TKU)"
"84","Lahti"
"85","Hämeenlinna"
"86","Hanko"
"87","Hyvinkää"
"88","Iisalmi"
"89","Imatra"
"90","Joensuu"
"91","Joensuu Airport (JOE)"
"92","Kajaani"
"93","Kaunianen"
"94","Kemi"
"95","Kemi-Tornio Airport (KEM)"
"96","Kirkkonummi"
"97","Kittilä"
"98","Kittilä Airport (KTT)"
"99","Kokkola"
"100","Kouvola"
"101","Utti Airport (UTI)"
"102","Kouvola"
"103","Kuopio"
"104","Kuopio Airport (KUO)"
"105","Lappeenranta Airport (LPP)"
"106","Lappeenranta"
"107","Mikkeli Airport (MIK)"
"108","Mikkeli"
"109","Oulu"
"110","Oulu Airport (OUL)"
"111","Pori"
"112","Rovaniemi Airport (RVN)"
"113","Rovaniemi"
"114","Savonlinna"
"115","Seinäjoki"
"116","Tornio"
"117","Vaasa"
"118","Vaasa Airport (VAA)"
"119","Lehtojärvi"
"120","Luosto"
"121","Ranua"
"122","Sinettä"
"123","Vaattunki Wilderness Resort"
"124","Port of Helsinki"
"125","Phuket International Airport (HKT)"
"126","Dubai international Airport (DXB)"
"127","Antalya Airport (AYT)"
"128","Bangkok Suvarnabhumi Airport (BKK)"
"129","Seoul Gimpo Airport (GMP)"
"130","Seoul Incheon Airport (ICN)"
"131","Marrakesh Menara Airport (RAK)"
"132","Samui International Airport (USM)"
"133","Larnaca Airport (LCA)"
"134","Port of Los Angeles"
"135","Oslo Gardermoen Airport (OSL)"
"136","Saint-Petersburg Pulkovo Airport (LED)"
"137","Sharjah Airport (SHJ)"
"138","Amman Queen Alia Airport (AMM)"
"139","Fort Lauderdale-Hollywood International Airport (FLL)"
"140","Amman Civil Airport (Marka) (ADJ)"
"141","Surat Thani Airport (URT)"
"142","Krabi International Airport (KBV)"
"143","Moscow Sheremetyevo International Airport (SVO)"
"144","Bangkok Don Muang Airport (DMK)"
"145","Moscow Domodedovo International Airport (DME)"
"146","Moscow Vnukovo International Airport (VKO)"
"147","Moscow Zhukovsky International Airport (ZIA)"
"148","Kaliningrad Khrabrovo Airport (KGD)"
"149","Koh Samui - Mae Nam Port (Surat Thani )"
"150","Miami airport (MIA)"
"151","West Palm Beach Airport (PBI)"
"152","Abu Dhabi International Airport (AUH)"
"153","Chiang Mai International Airport (CNX)"
"154","Tokyo (within 23 wards)"
