"status","routeFrom","routeTo","vehicleType","sheetPrice","dbPrice","dbSource","supplier","manager","sourceQuotedAt","net","fxUsdEur","markup","formula","updatedAt","dbRowId"
"price_set_mismatch","Los Angeles Airport (LAX)","Anaheim","Standard class car","55.00 EUR","83.00 EUR","manual:circassian-sky-beslan-la-sales-from-net-2026-05-06","Circassian sky","Беслан","2026-04-27T19:50:00.000Z","75 USD","0.8512","30%","ceil(netUsd*fxUsdEur*1.30)","2026-05-06T14:24:14.798Z","cmm3d3o9q02z3k8pptob4r30c"
"price_set_mismatch","Los Angeles Airport (LAX)","Anaheim","Standard e-vehicle 3 pax","89.00 EUR","178.00 EUR","manual:circassian-sky-beslan-la-sales-from-net-2026-05-06","Circassian sky","Беслан","2026-04-27T19:50:00.000Z","160 USD","0.8512","30%","ceil(netUsd*fxUsdEur*1.30)","2026-05-06T14:24:14.813Z","cmm3d3o9q02z4k8ppy44n7246"
"price_set_mismatch","Los Angeles Airport (LAX)","Anaheim","Standard MPV","58.00 EUR","89.00 EUR","manual:circassian-sky-beslan-la-sales-from-net-2026-05-06","Circassian sky","Беслан","2026-04-27T19:50:00.000Z","80 USD","0.8512","30%","ceil(netUsd*fxUsdEur*1.30)","2026-05-06T14:24:14.806Z","cmm3d3o9q02z5k8pp3qy5pke8"
"price_set_mismatch","Los Angeles Airport (LAX)","Beverly Hills","Standard class car","42.00 EUR","65.00 EUR","manual:circassian-sky-beslan-la-sales-from-net-2026-05-06","Circassian sky","Беслан","2026-04-27T19:50:00.000Z","58 USD","0.8512","30%","ceil(netUsd*fxUsdEur*1.30)","2026-05-06T14:24:14.776Z","cmm3d3o9q02zak8ppmymw2gzi"
"price_set_mismatch","Los Angeles Airport (LAX)","Beverly Hills","Standard e-vehicle 3 pax","75.00 EUR","133.00 EUR","manual:circassian-sky-beslan-la-sales-from-net-2026-05-06","Circassian sky","Беслан","2026-04-27T19:50:00.000Z","120 USD","0.8512","30%","ceil(netUsd*fxUsdEur*1.30)","2026-05-06T14:24:14.791Z","cmm3d3o9q02zbk8pphexpqfxs"
"price_set_mismatch","Los Angeles Airport (LAX)","Beverly Hills","Standard MPV","44.00 EUR","67.00 EUR","manual:circassian-sky-beslan-la-sales-from-net-2026-05-06","Circassian sky","Беслан","2026-04-27T19:50:00.000Z","60 USD","0.8512","30%","ceil(netUsd*fxUsdEur*1.30)","2026-05-06T14:24:14.784Z","cmm3d3o9q02zck8pp9bhcqnsz"
"price_set_mismatch","Los Angeles Airport (LAX)","Hollywood, California","Standard class car","42.00 EUR","65.00 EUR","manual:circassian-sky-beslan-la-sales-from-net-2026-05-06","Circassian sky","Беслан","2026-04-27T19:50:00.000Z","58 USD","0.8512","30%","ceil(netUsd*fxUsdEur*1.30)","2026-05-06T14:24:14.751Z","cmm3d3o9q0302k8ppi6zfyizb"
"price_set_mismatch","Los Angeles Airport (LAX)","Hollywood, California","Standard e-vehicle 3 pax","75.00 EUR","133.00 EUR","manual:circassian-sky-beslan-la-sales-from-net-2026-05-06","Circassian sky","Беслан","2026-04-27T19:50:00.000Z","120 USD","0.8512","30%","ceil(netUsd*fxUsdEur*1.30)","2026-05-06T14:24:14.768Z","cmm3d3o9q0303k8ppu4pzho17"
"price_set_mismatch","Los Angeles Airport (LAX)","Hollywood, California","Standard MPV","44.00 EUR","67.00 EUR","manual:circassian-sky-beslan-la-sales-from-net-2026-05-06","Circassian sky","Беслан","2026-04-27T19:50:00.000Z","60 USD","0.8512","30%","ceil(netUsd*fxUsdEur*1.30)","2026-05-06T14:24:14.761Z","cmm3d3o9q0304k8ppyicms9kc"
"price_set_mismatch","Los Angeles Airport (LAX)","Las Vegas","Standard class car","554.00 EUR","609.00 EUR","manual:circassian-sky-beslan-la-sales-from-net-2026-05-06","Circassian sky","Беслан","2026-04-27T19:50:00.000Z","550 USD","0.8512","30%","ceil(netUsd*fxUsdEur*1.30)","2026-05-06T14:24:14.906Z","cmm3d3o9r0311k8pp214r23r1"
"price_set_mismatch","Los Angeles Airport (LAX)","Las Vegas","Standard e-vehicle 3 pax","637.00 EUR","941.00 EUR","manual:circassian-sky-beslan-la-sales-from-net-2026-05-06","Circassian sky","Беслан","2026-04-27T19:50:00.000Z","850 USD","0.8512","30%","ceil(netUsd*fxUsdEur*1.30)","2026-05-06T14:24:14.920Z","cmm3d3o9r0312k8pp4myp9574"
