Country,From,To,Type,Pax,Price,Currency,CAT,Transferz,Dottransfers,Talixo,Suntransfers,Alexandra
Argentina,Buenos Aires Ministro Pistarini Airport (EZE),Buenos Aires,Business class car,3,"€86,00",EUR,,,,,,
Argentina,Buenos Aires Ministro Pistarini Airport (EZE),Buenos Aires,Standard class car,3,"€42,00",EUR,,,,,,
Argentina,Buenos Aires Ministro Pistarini Airport (EZE),Buenos Aires,Standard minivan 6 pax,6,"€68,00",EUR,,,,,,
Armenia,Yerevan Zvartnots Airport (EVN),Yerevan,Business class car,3,"€42,00",EUR,,,,,,
Armenia,Yerevan Zvartnots Airport (EVN),Yerevan,Businessvan 5 pax,5,"€90,00",EUR,,,,,,
Armenia,Yerevan Zvartnots Airport (EVN),Yerevan,First class car,3,"€56,00",EUR,,,,,,
Armenia,Yerevan Zvartnots Airport (EVN),Yerevan,Standard class car,3,"€25,00",EUR,,,,,,
Armenia,Yerevan Zvartnots Airport (EVN),Yerevan,Standard Minibus 16pax,16,"€74,00",EUR,,,,,,
Armenia,Yerevan Zvartnots Airport (EVN),Yerevan,Standard minivan 7 pax,7,"€47,00",EUR,,,,,,
Armenia,Yerevan Zvartnots Airport (EVN),Yerevan,Standard MPV,5,"€37,00",EUR,,,,,,
Austria,Vienna Schwechat Airport (VIE),Vienna,Standard class car,3,"€50,00",EUR,,,,,,
Austria,Vienna Schwechat Airport (VIE),Vienna,Standard minivan 6 pax,6,"€70,00",EUR,,,,,,
Azerbaijan,Baku Heydar Aliyev International Airport (GYD),Baku,Business class car,3,"€36,00",EUR,,,,,,
Azerbaijan,Baku Heydar Aliyev International Airport (GYD),Baku,Businessvan 6 pax,6,"€50,00",EUR,,,,,,
Azerbaijan,Baku Heydar Aliyev International Airport (GYD),Baku,First class car,3,"€63,00",EUR,,,,,,
Azerbaijan,Baku Heydar Aliyev International Airport (GYD),Baku,Standard class car,3,"€20,00",EUR,,,,,,
Azerbaijan,Baku Heydar Aliyev International Airport (GYD),Baku,Standard Minibus 16pax,16,"€60,00",EUR,,,,,,
Azerbaijan,Baku Heydar Aliyev International Airport (GYD),Baku,Standard minivan 7 pax,7,"€35,00",EUR,,,,,,
Azerbaijan,Baku Heydar Aliyev International Airport (GYD),Baku,Standard MPV,5,"€28,00",EUR,,,,,,
Azerbaijan,Baku Heydar Aliyev International Airport (GYD),Naftalan,Business class car,3,"€250,00",EUR,,,,,,
Azerbaijan,Baku Heydar Aliyev International Airport (GYD),Naftalan,Standard class car,3,"€200,00",EUR,,,,,,
Azerbaijan,Baku Heydar Aliyev International Airport (GYD),Naftalan,Standard minivan 7 pax,7,"€250,00",EUR,,,,,,
Azerbaijan,Baku Heydar Aliyev International Airport (GYD),"Shahdag (Quba, Qusar)",Business class car,3,"€180,00",EUR,,,,,,
Azerbaijan,Baku Heydar Aliyev International Airport (GYD),"Shahdag (Quba, Qusar)",Standard class car,3,"€150,00",EUR,,,,,,
Azerbaijan,Baku Heydar Aliyev International Airport (GYD),"Shahdag (Quba, Qusar)",Standard minivan 7 pax,7,"€180,00",EUR,,,,,,
Azerbaijan,Baku Heydar Aliyev International Airport (GYD),Tufandag (Gabala),Business class car,3,"€200,00",EUR,,,,,,
Azerbaijan,Baku Heydar Aliyev International Airport (GYD),Tufandag (Gabala),Standard class car,3,"€170,00",EUR,,,,,,
Azerbaijan,Baku Heydar Aliyev International Airport (GYD),Tufandag (Gabala),Standard minivan 7 pax,7,"€200,00",EUR,,,,,,
Belarus,Minsk Airport (MSQ),Minsk,Business class car,3,"€58,00",EUR,,,,,,
Belarus,Minsk Airport (MSQ),Minsk,First class car,3,"€150,00",EUR,,,,,,
Belarus,Minsk Airport (MSQ),Minsk,Standard class car,3,"€45,00",EUR,,,,,,
Belarus,Minsk Airport (MSQ),Minsk,Standard minivan 7 pax,7,"€82,00",EUR,,,,,,
Bulgaria,Varna Airport (VAR),Burgas,Standard class car,3,"€130,00",EUR,,,,,,
Canada,Toronto Lester B. Pearson Airport (YYZ),Toronto,Standard class car,3,"€48,00",EUR,,,,,,
Canada,Vancouver Airport (YVR),Kelowna,Standard class car,3,"€696,00",EUR,,,,,,
Canada,Vancouver Airport (YVR),Kelowna,Standard e-vehicle 3 pax,3,"€696,00",EUR,,,,,,
Canada,Vancouver Airport (YVR),Kelowna,Standard minivan 6 pax,6,"€835,00",EUR,,,,,,
Canada,Vancouver Airport (YVR),Tofino,Standard class car,3,"€572,00",EUR,,,,,,
Canada,Vancouver Airport (YVR),Tofino,Standard e-vehicle 3 pax,3,"€572,00",EUR,,,,,,
Canada,Vancouver Airport (YVR),Tofino,Standard minivan 6 pax,6,"€686,00",EUR,,,,,,
Canada,Vancouver Airport (YVR),Vancouver,Standard class car,3,"€36,00",EUR,,,,,,
Canada,Vancouver Airport (YVR),Vancouver,Standard MPV,4,"€45,00",EUR,,,,,,
Canada,Vancouver Airport (YVR),Vancouver,SUV,4,"€40,00",EUR,,,,,,
Canada,Vancouver Airport (YVR),Victoria,Standard class car,3,"€356,00",EUR,,,,,,
Canada,Vancouver Airport (YVR),Victoria,Standard e-vehicle 3 pax,3,"€356,00",EUR,,,,,,
Canada,Vancouver Airport (YVR),Victoria,Standard minivan 6 pax,6,"€428,00",EUR,,,,,,
Canada,Vancouver Airport (YVR),Whistler,Standard class car,3,"€232,00",EUR,,,,,,
Canada,Vancouver Airport (YVR),Whistler,Standard e-vehicle 3 pax,3,"€232,00",EUR,,,,,,
Canada,Vancouver Airport (YVR),Whistler,Standard minivan 6 pax,6,"€279,00",EUR,,,,,,
China,Beijing Capital International Airport (PEK),Beijing city center,Business class car,3,"€63,00",EUR,,,,,,
China,Beijing Capital International Airport (PEK),Beijing city center,Businessvan 6 pax,6,"€102,00",EUR,,,,,,
China,Beijing Capital International Airport (PEK),Beijing city center,First class car,3,"€209,00",EUR,,,,,,
China,Beijing Capital International Airport (PEK),Beijing city center,Standard class car,3,"€49,00",EUR,,,,,,
China,Beijing Capital International Airport (PEK),Beijing city center,Standard Minibus 16pax,16,"€144,00",EUR,,,,,,
China,Beijing Capital International Airport (PEK),Beijing city center,Standard minivan 6 pax,6,"€70,00",EUR,,,,,,
