"rowId","country","routeFrom","routeTo","vehicleType","pax","price","currency","source","notes"
"cmm3d3nz20000k8pp0y2z1tig","Argentina","Buenos Aires Ministro Pistarini Airport (EZE)","Buenos Aires","Business class car","3","86","EUR","base_price_xlsx","pax:3"
"cmm3d3nz20001k8ppbsu4cmr2","Argentina","Buenos Aires Ministro Pistarini Airport (EZE)","Buenos Aires","Standard class car","3","42","EUR","base_price_xlsx","pax:3"
"cmm3d3nz20002k8pprfhd4b03","Argentina","Buenos Aires Ministro Pistarini Airport (EZE)","Buenos Aires","Standard minivan 6 pax","6","68","EUR","base_price_xlsx","pax:6"
"cmm3d3nz20003k8pphmxxaeuc","Armenia","Yerevan Zvartnots Airport (EVN)","Yerevan","Business class car","3","42","EUR","base_price_xlsx","pax:3"
"cmm3d3nz20004k8pplf35x7a3","Armenia","Yerevan Zvartnots Airport (EVN)","Yerevan","Businessvan 5 pax","5","90","EUR","base_price_xlsx","pax:5"
"cmm3d3nz20005k8ppvnff1tg1","Armenia","Yerevan Zvartnots Airport (EVN)","Yerevan","First class car","3","56","EUR","base_price_xlsx","pax:3"
"cmm3d3nz20009k8ppad2wx5i0","Armenia","Yerevan Zvartnots Airport (EVN)","Yerevan","Standard MPV","5","37","EUR","base_price_xlsx","pax:5"
"cmm3d3nz20007k8ppthn5pscy","Armenia","Yerevan Zvartnots Airport (EVN)","Yerevan","Standard Minibus 16pax","16","74","EUR","base_price_xlsx","pax:16"
"cmm3d3nz20006k8ppo7l0nmjn","Armenia","Yerevan Zvartnots Airport (EVN)","Yerevan","Standard class car","3","25","EUR","base_price_xlsx","pax:3"
"cmm3d3nz20008k8pp127znsfw","Armenia","Yerevan Zvartnots Airport (EVN)","Yerevan","Standard minivan 7 pax","7","47","EUR","base_price_xlsx","pax:7"
"cmm3d3nz2000ak8ppklr1jg6k","Austria","Vienna Schwechat Airport (VIE)","Vienna","Standard class car","3","50","EUR","base_price_xlsx","pax:3"
"cmm3d3nz2000bk8pp7zvq6n5u","Austria","Vienna Schwechat Airport (VIE)","Vienna","Standard minivan 6 pax","6","70","EUR","base_price_xlsx","pax:6"
"cmm3d3nz2000ck8ppiyeefz8i","Azerbaijan","Baku Heydar Aliyev International Airport (GYD)","Baku","Business class car","3","36","EUR","base_price_xlsx","pax:3"
