"rowId","country","routeFrom","routeTo","vehicleType","pax","price","currency"
"2","Argentina","Buenos Aires Ministro Pistarini Airport (EZE)","Buenos Aires","Business class car","3","86","EUR"
"3","Argentina","Buenos Aires Ministro Pistarini Airport (EZE)","Buenos Aires","Standard class car","3","42","EUR"
"4","Argentina","Buenos Aires Ministro Pistarini Airport (EZE)","Buenos Aires","Standard minivan 6 pax","6","68","EUR"
"5","Armenia","Yerevan Zvartnots Airport (EVN)","Yerevan","Business class car","3","42","EUR"
"6","Armenia","Yerevan Zvartnots Airport (EVN)","Yerevan","Businessvan 5 pax","5","90","EUR"
"7","Armenia","Yerevan Zvartnots Airport (EVN)","Yerevan","First class car","3","56","EUR"
"8","Armenia","Yerevan Zvartnots Airport (EVN)","Yerevan","Standard class car","3","25","EUR"
"9","Armenia","Yerevan Zvartnots Airport (EVN)","Yerevan","Standard Minibus 16pax","16","74","EUR"
"10","Armenia","Yerevan Zvartnots Airport (EVN)","Yerevan","Standard minivan 7 pax","7","47","EUR"
"11","Armenia","Yerevan Zvartnots Airport (EVN)","Yerevan","Standard MPV","5","37","EUR"
"12","Austria","Vienna Schwechat Airport (VIE)","Vienna","Standard class car","3","50","EUR"
"13","Austria","Vienna Schwechat Airport (VIE)","Vienna","Standard minivan 6 pax","6","70","EUR"
"14","Azerbaijan","Baku Heydar Aliyev International Airport (GYD)","Baku","Business class car","3","36","EUR"
"15","Azerbaijan","Baku Heydar Aliyev International Airport (GYD)","Baku","Businessvan 6 pax","6","50","EUR"
"16","Azerbaijan","Baku Heydar Aliyev International Airport (GYD)","Baku","First class car","3","63","EUR"
"17","Azerbaijan","Baku Heydar Aliyev International Airport (GYD)","Baku","Standard class car","3","20","EUR"
"18","Azerbaijan","Baku Heydar Aliyev International Airport (GYD)","Baku","Standard Minibus 16pax","16","60","EUR"
"19","Azerbaijan","Baku Heydar Aliyev International Airport (GYD)","Baku","Standard minivan 7 pax","7","35","EUR"
"20","Azerbaijan","Baku Heydar Aliyev International Airport (GYD)","Baku","Standard MPV","5","28","EUR"
"21","Azerbaijan","Baku Heydar Aliyev International Airport (GYD)","Naftalan","Business class car","3","250","EUR"
"22","Azerbaijan","Baku Heydar Aliyev International Airport (GYD)","Naftalan","Standard class car","3","200","EUR"
"23","Azerbaijan","Baku Heydar Aliyev International Airport (GYD)","Naftalan","Standard minivan 7 pax","7","250","EUR"
"24","Azerbaijan","Baku Heydar Aliyev International Airport (GYD)","Shahdag (Quba, Qusar)","Business class car","3","180","EUR"
"25","Azerbaijan","Baku Heydar Aliyev International Airport (GYD)","Shahdag (Quba, Qusar)","Standard class car","3","150","EUR"
"26","Azerbaijan","Baku Heydar Aliyev International Airport (GYD)","Shahdag (Quba, Qusar)","Standard minivan 7 pax","7","180","EUR"
"27","Azerbaijan","Baku Heydar Aliyev International Airport (GYD)","Tufandag (Gabala)","Business class car","3","200","EUR"
"28","Azerbaijan","Baku Heydar Aliyev International Airport (GYD)","Tufandag (Gabala)","Standard class car","3","170","EUR"
"29","Azerbaijan","Baku Heydar Aliyev International Airport (GYD)","Tufandag (Gabala)","Standard minivan 7 pax","7","200","EUR"
"30","Belarus","Minsk Airport (MSQ)","Minsk","Business class car","3","58","EUR"
"31","Belarus","Minsk Airport (MSQ)","Minsk","First class car","3","150","EUR"
"32","Belarus","Minsk Airport (MSQ)","Minsk","Standard class car","3","45","EUR"
"33","Belarus","Minsk Airport (MSQ)","Minsk","Standard minivan 7 pax","7","82","EUR"
"34","Bulgaria","Varna Airport (VAR)","Burgas","Standard class car","3","130","EUR"
"35","Canada","Toronto Lester B. Pearson Airport (YYZ)","Toronto","Standard class car","3","48","EUR"
"36","Canada","Vancouver Airport (YVR)","Kelowna","Standard class car","3","696","EUR"
"37","Canada","Vancouver Airport (YVR)","Kelowna","Standard e-vehicle 3 pax","3","696","EUR"
"38","Canada","Vancouver Airport (YVR)","Kelowna","Standard minivan 6 pax","6","835","EUR"
"39","Canada","Vancouver Airport (YVR)","Tofino","Standard class car","3","572","EUR"
"40","Canada","Vancouver Airport (YVR)","Tofino","Standard e-vehicle 3 pax","3","572","EUR"
"41","Canada","Vancouver Airport (YVR)","Tofino","Standard minivan 6 pax","6","686","EUR"
"42","Canada","Vancouver Airport (YVR)","Vancouver","Standard class car","3","36","EUR"
"43","Canada","Vancouver Airport (YVR)","Vancouver","Standard MPV","4","45","EUR"
"44","Canada","Vancouver Airport (YVR)","Vancouver","SUV","4","40","EUR"
"45","Canada","Vancouver Airport (YVR)","Victoria","Standard class car","3","356","EUR"
"46","Canada","Vancouver Airport (YVR)","Victoria","Standard e-vehicle 3 pax","3","356","EUR"
"47","Canada","Vancouver Airport (YVR)","Victoria","Standard minivan 6 pax","6","428","EUR"
"48","Canada","Vancouver Airport (YVR)","Whistler","Standard class car","3","232","EUR"
"49","Canada","Vancouver Airport (YVR)","Whistler","Standard e-vehicle 3 pax","3","232","EUR"
"50","Canada","Vancouver Airport (YVR)","Whistler","Standard minivan 6 pax","6","279","EUR"
"51","China","Beijing Capital International Airport (PEK)","Beijing city center","Business class car","3","63","EUR"
"52","China","Beijing Capital International Airport (PEK)","Beijing city center","Businessvan 6 pax","6","102","EUR"
"53","China","Beijing Capital International Airport (PEK)","Beijing city center","First class car","3","209","EUR"
"54","China","Beijing Capital International Airport (PEK)","Beijing city center","Standard class car","3","49","EUR"
"55","China","Beijing Capital International Airport (PEK)","Beijing city center","Standard Minibus 16pax","16","144","EUR"
"56","China","Beijing Capital International Airport (PEK)","Beijing city center","Standard minivan 6 pax","6","70","EUR"
"57","China","Beijing Daxing International Airport (PKX)","Beijing city center","Standard class car","3","67","EUR"
"58","China","Beijing Daxing International Airport (PKX)","Beijing city center","Standard Minibus 16pax","16","146","EUR"
"59","China","Beijing Daxing International Airport (PKX)","Beijing city center","Standard minivan 6 pax","6","89","EUR"
"60","China","Guangzhou Baiyun International Airport (CAN)","GuangZhou city center","Business class car","3","65","EUR"
"61","China","Guangzhou Baiyun International Airport (CAN)","GuangZhou city center","Businessvan 6 pax","6","101","EUR"
"62","China","Guangzhou Baiyun International Airport (CAN)","GuangZhou city center","Standard class car","3","54","EUR"
"63","China","Guangzhou Baiyun International Airport (CAN)","GuangZhou city center","Standard Minibus 16pax","16","267","EUR"
"64","China","Guangzhou Baiyun International Airport (CAN)","GuangZhou city center","Standard minivan 6 pax","6","64","EUR"
"65","China","Hong Kong Airport (HKG)","Central and Western","Business class car","3","96","EUR"
