"status","key","sheetRowId","dbRowId","country","routeFrom","routeTo","vehicleType","pax","sheetPrice","dbPrice","sheetCurrency","dbCurrency"
"price_set_mismatch","denmark	aarhus airport aar	aarhus	standard class car","188","cmm3d3nz50056k8ppyu2485da","Denmark","Aarhus airport (AAR)","Aarhus","Standard class car","3","93.00 EUR","120.00 EUR","EUR","EUR"
"only_in_db","denmark	aarhus airport aar	aarhus outside city center	standard class car","","cmosfia7c0001v8x7ldylt0hc","Denmark","Aarhus Airport (AAR)","Aarhus outside city center","Standard class car","","","140","","EUR"
"only_in_db","denmark	billund airport bll	aarhus city	standard class car","","cmosfia7u0003v8x7ce45x4ys","Denmark","Billund Airport (BLL)","Aarhus city","Standard class car","","","230","","EUR"
"only_in_db","denmark	billund airport bll	horsens	standard class car","","cmosfia8r0007v8x7e0y1t1bt","Denmark","Billund Airport (BLL)","Horsens","Standard class car","","","200","","EUR"
"only_in_db","denmark	billund airport bll	silkeborg	standard class car","","cmosfia8b0005v8x72fpr7a38","Denmark","Billund Airport (BLL)","Silkeborg","Standard class car","","","200","","EUR"
"duplicate_key_same_values","denmark	copenhagen kastrup airport cph	malm sturup airport mmx	standard class car","207|208","cmm3d3nz5005pk8ppxxmt78jy|cmm3d3nz5005qk8ppc0rplzu9","Denmark","Copenhagen Kastrup Airport (CPH)","Malmö Sturup Airport (MMX)","Standard class car","3","190.00 EUR|190.00 EUR","190.00 EUR|190.00 EUR","EUR|EUR","EUR|EUR"
"duplicate_key_same_values","finland	helsinki vantaa airport hel	joensuu	business class car","287|288","cmm3d3nz6007xk8ppkjgdmx08|cmm3d3nz6007yk8pp0w77sv8y","Finland","Helsinki Vantaa airport (HEL)","Joensuu","Business class car","3","560.00 EUR|560.00 EUR","560.00 EUR|560.00 EUR","EUR|EUR","EUR|EUR"
"duplicate_key_same_values","finland	helsinki vantaa airport hel	joensuu	standard class car","289|290","cmm3d3nz60080k8ppgwnpak3x|cmm3d3nz6007zk8pp4vxzgn52","Finland","Helsinki Vantaa airport (HEL)","Joensuu","Standard class car","3","495.00 EUR|495.00 EUR","495.00 EUR|495.00 EUR","EUR|EUR","EUR|EUR"
"duplicate_key_same_values","finland	helsinki vantaa airport hel	joensuu	standard minivan 6 pax","291|292","cmm3d3nz60082k8ppzbp79yft|cmm3d3nz60081k8ppvsbfqppa","Finland","Helsinki Vantaa airport (HEL)","Joensuu","Standard minivan 6 pax","6","570.00 EUR|570.00 EUR","570.00 EUR|570.00 EUR","EUR|EUR","EUR|EUR"
"duplicate_key_same_values","finland	helsinki vantaa airport hel	porvoo	standard class car","344|345","cmm3d3nz7009ik8pp9hb135mj|cmm3d3nz7009jk8ppw3apeidy","Finland","Helsinki Vantaa airport (HEL)","Porvoo","Standard class car","3","70.00 EUR|90.00 EUR","70.00 EUR|90.00 EUR","EUR|EUR","EUR|EUR"
"duplicate_key_same_values","japan	tokyo within 23 wards	tokyo narita airport nrt	standard minivan 7 pax","596|597","cmm3d3o0h00gjk8pp0mipmthr|cmm3d3o0h00gik8pp9b74eagv","Japan","Tokyo (within 23 wards)","Tokyo Narita Airport (NRT)","Standard minivan 7 pax","7","195.00 EUR|340.00 EUR","195.00 EUR|340.00 EUR","EUR|EUR","EUR|EUR"
"duplicate_key_same_values","jordan	amman queen alia airport amm	amman	standard class car","702|703|704","cmm3d3o0j00jik8ppbeskathi|cmm3d3o0j00jgk8pp7hjhz9no|cmm3d3o0j00jhk8ppyf6ruhtx","Jordan","Amman Queen Alia Airport (AMM)","Amman","Standard class car","3","54.00 EUR|54.00 EUR|60.00 EUR","54.00 EUR|54.00 EUR|60.00 EUR","EUR|EUR|EUR","EUR|EUR|EUR"
"duplicate_key_same_values","norway	oslo gardermoen airport osl	g teborg g teborg gothenburg	standard class car","894|895","cmm3d3o0m00osk8ppfc18rghc|cmm3d3o0m00otk8pp2d5fxrkg","Norway","Oslo Gardermoen Airport (OSL)","Gøteborg / Göteborg / Gothenburg","Standard class car","3","977.00 EUR|977.00 EUR","977.00 EUR|977.00 EUR","EUR|EUR","EUR|EUR"
"duplicate_key_same_values","russia	baikal international airport uud	ulan ude	standard class car","960|961","cmm3d3o0n00qnk8ppp9n8yv8v|cmm3d3o0n00qmk8ppskqgoex7","Russia","Baikal International Airport (UUD)","Ulan-Ude","Standard class car","3","29.00 EUR|46.00 EUR","29.00 EUR|46.00 EUR","EUR|EUR","EUR|EUR"
"duplicate_key_same_values","russia	begishevo airport nbc	naberezhnye chelny	standard class car","963|964","cmm3d3o0n00qqk8pp4j7loi9o|cmm3d3o0n00qpk8ppp1tld6zy","Russia","Begishevo Airport (NBC)","Naberezhnye Chelny","Standard class car","3","39.00 EUR|52.00 EUR","39.00 EUR|52.00 EUR","EUR|EUR","EUR|EUR"
"duplicate_key_same_values","russia	elabuga begishevo airport nbc	naberezhnye chelny	standard class car","983|984","cmm3d3o0n00rak8pp6zmitlgr|cmm3d3o0n00r9k8pp5vc5bh35","Russia","Elabuga Begishevo Airport (NBC)","Naberezhnye Chelny","Standard class car","3","32.00 EUR|64.00 EUR","32.00 EUR|64.00 EUR","EUR|EUR","EUR|EUR"
"duplicate_key_same_values","russia	elabuga begishevo airport nbc	nizhnekamsk	standard class car","989|990","cmm3d3o0o00rfk8ppfbg7ec76|cmm3d3o0o00rgk8pp7un58zfz","Russia","Elabuga Begishevo Airport (NBC)","Nizhnekamsk","Standard class car","3","32.00 EUR|51.00 EUR","32.00 EUR|51.00 EUR","EUR|EUR","EUR|EUR"
"duplicate_key_same_values","russia	gelendzhik airport gdz	gelendzhik	standard class car","995|996","cmm3d3o0o00rlk8pp3ijqgtl6|cmm3d3o0o00rmk8ppk2btas9s","Russia","Gelendzhik Airport (GDZ)","Gelendzhik","Standard class car","3","29.00 EUR|42.00 EUR","29.00 EUR|42.00 EUR","EUR|EUR","EUR|EUR"
"duplicate_key_same_values","russia	ivanovo yuzhny airport iwa	ivanovo	standard class car","1013|1014","cmm3d3o1z00s4k8ppkr185a3b|cmm3d3o1z00s3k8pp149vxo23","Russia","Ivanovo Yuzhny Airport (IWA)","Ivanovo","Standard class car","3","29.00 EUR|49.00 EUR","29.00 EUR|49.00 EUR","EUR|EUR","EUR|EUR"
"duplicate_key_same_values","russia	kostroma airport kmw	kostroma	standard class car","1083|1084","cmm3d3o2000u2k8ppetsrymcd|cmm3d3o2000u1k8ppqdcge27o","Russia","Kostroma Airport (KMW)","Kostroma","Standard class car","3","29.00 EUR|42.00 EUR","29.00 EUR|42.00 EUR","EUR|EUR","EUR|EUR"
"duplicate_key_same_values","russia	krasnodar international airport krr	krasnodar	standard class car","1089|1090","cmm3d3o2000u7k8pp2ht6sfs2|cmm3d3o2000u8k8ppheamxlz3","Russia","Krasnodar International Airport (KRR)","Krasnodar","Standard class car","3","31.00 EUR|42.00 EUR","31.00 EUR|42.00 EUR","EUR|EUR","EUR|EUR"
"duplicate_key_same_values","russia	krasnoyarsk yemelyanovo airport kja	krasnoyarsk	standard class car","1095|1096","cmm3d3o2000udk8pp8sccltqq|cmm3d3o2000uek8pp6jfm6mms","Russia","Krasnoyarsk Yemelyanovo Airport (KJA)","Krasnoyarsk","Standard class car","3","42.00 EUR|61.00 EUR","42.00 EUR|61.00 EUR","EUR|EUR","EUR|EUR"
"duplicate_key_same_values","russia	mineralnye vody airport mrv	kislovodsk	standard class car","1109|1110","cmm3d3o2100urk8ppz45tt9pe|cmm3d3o2100usk8pp82rnb5ej","Russia","Mineralnye Vody airport (MRV)","Kislovodsk","Standard class car","3","42.00 EUR|67.00 EUR","42.00 EUR|67.00 EUR","EUR|EUR","EUR|EUR"
"duplicate_key_same_values","russia	novokuznetsk airport noz	novokuznetsk	standard class car","1232|1233","cmm3d3o2300y6k8pp86dkq3ni|cmm3d3o2300y7k8pplky2tya3","Russia","Novokuznetsk Airport (NOZ)","Novokuznetsk","Standard class car","3","32.00 EUR|49.00 EUR","32.00 EUR|49.00 EUR","EUR|EUR","EUR|EUR"
"duplicate_key_same_values","russia	omsk tsentralny airport oms	omsk	standard class car","1238|1239","cmm3d3o2300yck8ppttkxvwdz|cmm3d3o2300ydk8ppdc19d2c7","Russia","Omsk Tsentralny Airport (OMS)","Omsk","Standard class car","3","29.00 EUR|44.00 EUR","29.00 EUR|44.00 EUR","EUR|EUR","EUR|EUR"
"duplicate_key_same_values","russia	penza airport pez	penza	standard class car","1243|1244","cmm3d3o2300yhk8ppkd5or1xu|cmm3d3o2300yik8ppqo62bned","Russia","Penza Airport (PEZ)","Penza","Standard class car","3","26.00 EUR|47.00 EUR","26.00 EUR|47.00 EUR","EUR|EUR","EUR|EUR"
"duplicate_key_same_values","russia	perm international airport pee	perm	standard class car","1249|1250","cmm3d3o2300ynk8ppwsl14sql|cmm3d3o2300yok8ppwkxo1417","Russia","Perm International Airport (PEE)","Perm","Standard class car","3","31.00 EUR|42.00 EUR","31.00 EUR|42.00 EUR","EUR|EUR","EUR|EUR"
"duplicate_key_same_values","russia	rostov on don platov airport rov	rostov on don	standard class car","1319|1320","cmm3d3o24010mk8pp40eksefk|cmm3d3o24010lk8pplal6xypl","Russia","Rostov-on-Don Platov Airport (ROV)","Rostov-on-Don","Standard class car","3","51.00 EUR|76.00 EUR","51.00 EUR|76.00 EUR","EUR|EUR","EUR|EUR"
"duplicate_key_same_values","russia	samara kurumoch international airport kuf	samara	standard class car","1328|1329","cmm3d3o24010uk8ppx6ojvb1v|cmm3d3o24010vk8ppufcfe2zj","Russia","Samara Kurumoch International Airport (KUF)","Samara","Standard class car","3","37.00 EUR|59.00 EUR","37.00 EUR|59.00 EUR","EUR|EUR","EUR|EUR"
"duplicate_key_same_values","russia	samara kurumoch international airport kuf	tolyatti	standard class car","1334|1335","cmm3d3o240110k8ppfqnchxyt|cmm3d3o240111k8pp3pv8dc4u","Russia","Samara Kurumoch International Airport (KUF)","Tolyatti","Standard class car","3","49.00 EUR|67.00 EUR","49.00 EUR|67.00 EUR","EUR|EUR","EUR|EUR"
"duplicate_key_same_values","russia	surgut international airport sgc	surgut	standard class car","1367|1368","cmm3d3o25011xk8pp12jk5vsz|cmm3d3o25011yk8ppppzxik5g","Russia","Surgut International Airport (SGC)","Surgut","Standard class car","3","31.00 EUR|46.00 EUR","31.00 EUR|46.00 EUR","EUR|EUR","EUR|EUR"
"duplicate_key_same_values","russia	ulyanovsk vostochny airport uly	ulyanovsk	standard class car","1386|1387","cmm3d3o25012gk8ppomhcjwt9|cmm3d3o25012hk8pp5xk6vcz6","Russia","Ulyanovsk Vostochny Airport (ULY)","Ulyanovsk","Standard class car","3","32.00 EUR|47.00 EUR","32.00 EUR|47.00 EUR","EUR|EUR","EUR|EUR"
"duplicate_key_same_values","russia	volgograd international airport vog	volgograd	standard class car","1395|1396","cmm3d3o25012pk8ppow4mwtcl|cmm3d3o25012qk8ppm29kc3qh","Russia","Volgograd International Airport (VOG)","Volgograd","Standard class car","3","32.00 EUR|59.00 EUR","32.00 EUR|59.00 EUR","EUR|EUR","EUR|EUR"
"duplicate_key_same_values","russia	vologda airport vgd	vologda	standard class car","1400|1401","cmm3d3o25012vk8pp1bxripil|cmm3d3o25012uk8ppowmtg0my","Russia","Vologda Airport (VGD)","Vologda","Standard class car","3","30.00 EUR|51.00 EUR","30.00 EUR|51.00 EUR","EUR|EUR","EUR|EUR"
"only_in_sheet","thailand	phuket international airport hkt		standard class car","2446","","Thailand","Phuket International Airport (HKT)","","Standard class car","3","155","","EUR",""
"only_in_sheet","thailand	phuket international airport hkt		standard minivan 8 pax","2447","","Thailand","Phuket International Airport (HKT)","","Standard minivan 8 pax","8","175","","EUR",""
"duplicate_key_same_values","thailand	phuket international airport hkt	khao lak phang nga	first class car","2298|2299","cmm3d3o5001rsk8ppioh8jkmj|cmm3d3o5001rtk8ppoalo1ps6","Thailand","Phuket International Airport (HKT)","Khao Lak, Phang Nga","First class car","3","287.00 EUR|287.00 EUR","287.00 EUR|287.00 EUR","EUR|EUR","EUR|EUR"
"duplicate_key_same_values","thailand	phuket international airport hkt	mueang phuket district	standard class car","2349|2350","cmm3d3o5101t8k8ppl69jjxky|cmm3d3o5101t7k8pp2zjkbuzm","Thailand","Phuket International Airport (HKT)","Mueang Phuket District","Standard class car","3","25.00 EUR|32.00 EUR","25.00 EUR|32.00 EUR","EUR|EUR","EUR|EUR"
"duplicate_key_same_values","thailand	phuket international airport hkt	patong phuket	standard class car","2373|2374|2375","cmm3d3o5101tvk8ppto2x5rsn|cmm3d3o5101txk8ppv15p32ah|cmm3d3o5101twk8ppjv7d78xg","Thailand","Phuket International Airport (HKT)","PaTong, Phuket","Standard class car","3","25.00 EUR|25.00 EUR|26.00 EUR","25.00 EUR|25.00 EUR|26.00 EUR","EUR|EUR|EUR","EUR|EUR|EUR"
"duplicate_key_same_values","thailand	phuket international airport hkt	patong phuket	standard minivan 8 pax","2376|2377","cmm3d3o5101tyk8ppbl6hmw07|cmm3d3o5101tzk8pptzwd6e83","Thailand","Phuket International Airport (HKT)","PaTong, Phuket","Standard minivan 8 pax","8","30.00 EUR|35.00 EUR","30.00 EUR|35.00 EUR","EUR|EUR","EUR|EUR"
"pax_metadata_mismatch","turkey	asian side central kavacik atasehir umraniye kadikoy uskudar	istanbul airport ist	standard minibus 13pax","4159","cmoto8kdc00019ca0c5v4nfqz","Turkey","Asian Side Central (Kavacik, Atasehir, Umraniye, Kadikoy, Uskudar)","Istanbul Airport (IST)","Standard Minibus 13pax","13","91.00 EUR","91.00 EUR","EUR","EUR"
