"status","key","sheetRowId","dbRowId","country","routeFrom","routeTo","vehicleType","pax","sheetPrice","dbPrice","sheetCurrency","dbCurrency","decision","comment"
"only_in_sheet","united states of america	los angeles airport lax	anaheim	business class car","3802","","United States of America","Los Angeles Airport (LAX)","Anaheim","Business class car","3","69","","EUR","","archive_exclude_from_eto","User said LA Business class car, Businessvan 6 pax, and SUV routes can be archived; exclude from ETO import working set."
"only_in_sheet","united states of america	los angeles airport lax	anaheim	businessvan 6 pax","3803","","United States of America","Los Angeles Airport (LAX)","Anaheim","Businessvan 6 pax","6","102","","EUR","","archive_exclude_from_eto","User said LA Business class car, Businessvan 6 pax, and SUV routes can be archived; exclude from ETO import working set."
"only_in_sheet","united states of america	los angeles airport lax	anaheim	suv","3808","","United States of America","Los Angeles Airport (LAX)","Anaheim","SUV","5","58","","EUR","","archive_exclude_from_eto","User said LA Business class car, Businessvan 6 pax, and SUV routes can be archived; exclude from ETO import working set."
"only_in_sheet","united states of america	los angeles airport lax	beverly hills	business class car","3809","","United States of America","Los Angeles Airport (LAX)","Beverly Hills","Business class car","3","55","","EUR","","archive_exclude_from_eto","User said LA Business class car, Businessvan 6 pax, and SUV routes can be archived; exclude from ETO import working set."
"only_in_sheet","united states of america	los angeles airport lax	beverly hills	businessvan 6 pax","3810","","United States of America","Los Angeles Airport (LAX)","Beverly Hills","Businessvan 6 pax","6","86","","EUR","","archive_exclude_from_eto","User said LA Business class car, Businessvan 6 pax, and SUV routes can be archived; exclude from ETO import working set."
"only_in_sheet","united states of america	los angeles airport lax	beverly hills	suv","3815","","United States of America","Los Angeles Airport (LAX)","Beverly Hills","SUV","5","44","","EUR","","archive_exclude_from_eto","User said LA Business class car, Businessvan 6 pax, and SUV routes can be archived; exclude from ETO import working set."
"only_in_sheet","united states of america	los angeles airport lax	hollywood california	business class car","3837","","United States of America","Los Angeles Airport (LAX)","Hollywood, California","Business class car","3","55","","EUR","","archive_exclude_from_eto","User said LA Business class car, Businessvan 6 pax, and SUV routes can be archived; exclude from ETO import working set."
"only_in_sheet","united states of america	los angeles airport lax	hollywood california	businessvan 6 pax","3838","","United States of America","Los Angeles Airport (LAX)","Hollywood, California","Businessvan 6 pax","6","86","","EUR","","archive_exclude_from_eto","User said LA Business class car, Businessvan 6 pax, and SUV routes can be archived; exclude from ETO import working set."
"only_in_sheet","united states of america	los angeles airport lax	hollywood california	suv","3843","","United States of America","Los Angeles Airport (LAX)","Hollywood, California","SUV","5","44","","EUR","","archive_exclude_from_eto","User said LA Business class car, Businessvan 6 pax, and SUV routes can be archived; exclude from ETO import working set."
"only_in_sheet","united states of america	los angeles airport lax	las vegas	business class car","3872","","United States of America","Los Angeles Airport (LAX)","Las Vegas","Business class car","3","596","","EUR","","archive_exclude_from_eto","User said LA Business class car, Businessvan 6 pax, and SUV routes can be archived; exclude from ETO import working set."
"only_in_sheet","united states of america	los angeles airport lax	las vegas	businessvan 6 pax","3873","","United States of America","Los Angeles Airport (LAX)","Las Vegas","Businessvan 6 pax","6","884","","EUR","","archive_exclude_from_eto","User said LA Business class car, Businessvan 6 pax, and SUV routes can be archived; exclude from ETO import working set."
