"name","count","countries","cities","roles","samples"
"6 of October","2","Egypt","6 of October","to","Cairo International Airport (CAI) -> 6 of October || Cairo International Airport (CAI) -> 6 of October"
"Aarhus","2","Denmark","Aarhus","to","Aarhus airport (AAR) -> Aarhus || Aarhus airport (AAR) -> Aarhus"
"Aarhus Airport (AAR)","3","Denmark","Aarhus","from","Aarhus Airport (AAR) -> Aarhus outside city center || Aarhus airport (AAR) -> Aarhus || Aarhus airport (AAR) -> Aarhus"
"Aarhus city","1","Denmark","Aarhus","to","Billund Airport (BLL) -> Aarhus city"
"Aarhus outside city center","1","Denmark","Aarhus","to","Aarhus Airport (AAR) -> Aarhus outside city center"
"Abeid Amani Karume International Airport (ZNZ)","1","Tanzania","Zanzibar","from","Abeid Amani Karume International Airport (ZNZ) -> Zanzibar"
"Abisko","1","Sweden","Abisko","to","Kiruna Airport (KRN) -> Abisko"
"Abu Dhabi","6","United Arab Emirates","Abu Dhabi","to","Abu Dhabi International Airport (AUH) -> Abu Dhabi || Abu Dhabi International Airport (AUH) -> Abu Dhabi || Abu Dhabi International Airport (AUH) -> Abu Dhabi"
"Abu Dhabi International Airport (AUH)","35","United Arab Emirates","Abu Dhabi|Abu Dhabi International Airport (AUH)|Ajman|Al Ain|Al Ruwais|Al Sila|Downtown Dubai|Dubai international Airport (DXB)|Fujairah|Ras Al Khaimah|Sharjah|Umm Al Quwain","from|to","Abu Dhabi International Airport (AUH) -> Abu Dhabi || Abu Dhabi International Airport (AUH) -> Abu Dhabi || Abu Dhabi International Airport (AUH) -> Abu Dhabi"
"Adelboden","5","Switzerland","Adelboden","to","Zurich Airport (ZRH) -> Adelboden || Zurich Airport (ZRH) -> Adelboden || Zurich Airport (ZRH) -> Adelboden"
"Adolfo Suárez Madrid–Barajas Airport (MAD)","5","Spain","Madrid","from","Adolfo Suárez Madrid–Barajas Airport (MAD) -> Madrid || Adolfo Suárez Madrid–Barajas Airport (MAD) -> Madrid || Adolfo Suárez Madrid–Barajas Airport (MAD) -> Madrid"
"Adrasan","4","Turkey","Adrasan","to","Antalya Airport (AYT) -> Adrasan || Antalya Airport (AYT) -> Adrasan || Antalya Airport (AYT) -> Adrasan"
"Agios Mamas","1","Cyprus","Agios Mamas","to","Larnaca Airport (LCA) -> Agios Mamas"
"Agraka","1","Cyprus","Agraka","to","Larnaca Airport (LCA) -> Agraka"
"Agros","1","Cyprus","Agros","to","Larnaca Airport (LCA) -> Agros"
"Ajloun","6","Jordan","Ajloun","to","Amman Civil Airport (Marka) (ADJ) -> Ajloun || Amman Civil Airport (Marka) (ADJ) -> Ajloun || Amman Civil Airport (Marka) (ADJ) -> Ajloun"
"Ajman","14","United Arab Emirates","Ajman","to","Abu Dhabi International Airport (AUH) -> Ajman || Abu Dhabi International Airport (AUH) -> Ajman || Abu Dhabi International Airport (AUH) -> Ajman"
"Akaki","1","Cyprus","Akaki","to","Larnaca Airport (LCA) -> Akaki"
"Åkersberga locality","2","Sweden","Åkersberga locality","to","Stockholm Arlanda Airport (ARN) -> Åkersberga locality || Stockholm Arlanda Airport (ARN) -> Åkersberga locality"
"Akrotiri","1","Cyprus","Akrotiri","to","Larnaca Airport (LCA) -> Akrotiri"
"Aksu (Antalya)","3","Turkey","Aksu (Antalya)","to","Antalya Airport (AYT) -> Aksu (Antalya) || Antalya Airport (AYT) -> Aksu (Antalya) || Antalya Airport (AYT) -> Aksu (Antalya)"
"Al Ain","10","United Arab Emirates","Al Ain","to","Abu Dhabi International Airport (AUH) -> Al Ain || Abu Dhabi International Airport (AUH) -> Al Ain || Abu Dhabi International Airport (AUH) -> Al Ain"
"Al Barsha, Dubai","10","United Arab Emirates","Al Barsha, Dubai","to","Dubai international Airport (DXB) -> Al Barsha, Dubai || Dubai international Airport (DXB) -> Al Barsha, Dubai || Dubai international Airport (DXB) -> Al Barsha, Dubai"
"Al Marjan Island","3","United Arab Emirates","Al Marjan Island","to","Sharjah Airport (SHJ) -> Al Marjan Island || Sharjah Airport (SHJ) -> Al Marjan Island || Sharjah Airport (SHJ) -> Al Marjan Island"
"Al Quoz, Dubai","8","United Arab Emirates","Al Quoz, Dubai","to","Dubai international Airport (DXB) -> Al Quoz, Dubai || Dubai international Airport (DXB) -> Al Quoz, Dubai || Dubai international Airport (DXB) -> Al Quoz, Dubai"
"Al Ruwais","3","United Arab Emirates","Al Ruwais","to","Abu Dhabi International Airport (AUH) -> Al Ruwais || Abu Dhabi International Airport (AUH) -> Al Ruwais || Abu Dhabi International Airport (AUH) -> Al Ruwais"
"Al Sila","3","United Arab Emirates","Al Sila","to","Abu Dhabi International Airport (AUH) -> Al Sila || Abu Dhabi International Airport (AUH) -> Al Sila || Abu Dhabi International Airport (AUH) -> Al Sila"
"Alanya","5","Turkey","Alanya","to","Antalya Airport (AYT) -> Alanya || Antalya Airport (AYT) -> Alanya || Antalya Airport (AYT) -> Alanya"
"Alara","3","Turkey","Alara","to","Antalya Airport (AYT) -> Alara || Antalya Airport (AYT) -> Alara || Antalya Airport (AYT) -> Alara"
"Alassa","1","Cyprus","Alassa","to","Larnaca Airport (LCA) -> Alassa"
"Aleenta Phuket Phang Nga + NaTai","4","Thailand","Aleenta Phuket Phang Nga + NaTai","to","Phuket International Airport (HKT) -> Aleenta Phuket Phang Nga + NaTai || Phuket International Airport (HKT) -> Aleenta Phuket Phang Nga + NaTai || Phuket International Airport (HKT) -> Aleenta Phuket Phang Nga + NaTai"
"Alexander Kartveli Batumi Airport (BUS)","7","Georgia","Batumi|Shekvetili","from","Alexander Kartveli Batumi Airport (BUS) -> Batumi || Alexander Kartveli Batumi Airport (BUS) -> Batumi || Alexander Kartveli Batumi Airport (BUS) -> Batumi"
"Alicante","5","Spain","Alicante","to","Alicante Elche Airport (ALC) -> Alicante || Alicante Elche Airport (ALC) -> Alicante || Alicante Elche Airport (ALC) -> Alicante"
"Alicante Elche Airport (ALC)","5","Spain","Alicante","from","Alicante Elche Airport (ALC) -> Alicante || Alicante Elche Airport (ALC) -> Alicante || Alicante Elche Airport (ALC) -> Alicante"
"Almaty","3","Kazakhstan","Almaty","to","Almaty International Airport (ALA) -> Almaty || Almaty International Airport (ALA) -> Almaty || Almaty International Airport (ALA) -> Almaty"
"Almaty International Airport (ALA)","3","Kazakhstan","Almaty","from","Almaty International Airport (ALA) -> Almaty || Almaty International Airport (ALA) -> Almaty || Almaty International Airport (ALA) -> Almaty"
"Älvsjö district (Alvsjo), Stockholm","2","Sweden","Älvsjö district (Alvsjo), Stockholm","to","Stockholm Arlanda Airport (ARN) -> Älvsjö district (Alvsjo), Stockholm || Stockholm Arlanda Airport (ARN) -> Älvsjö district (Alvsjo), Stockholm"
"Amed Beach","1","Indonesia","Amed Beach","to","Denpasar Ngurah Rai Airport (DPS) -> Amed Beach"
"Amman","8","Jordan","Amman","to","Amman Civil Airport (Marka) (ADJ) -> Amman || Amman Civil Airport (Marka) (ADJ) -> Amman || Amman Civil Airport (Marka) (ADJ) -> Amman"
